CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numIodine,numSilicon
57-50-1,Sucrose,,,,,2.32,2.78,3,14.19,11.06,,,,,,,,,,,
4618-18-2,Lactulose,,,,,2.4,2.4,2.5,13.2,11.06,,,,,,,,,,,
529-44-2,3.3'.4'.5.5.'.7-Hexahydroxyflavone 14767,,,,,2.85,2.6,2.39,13.12,11.06,,,,,,,,,,,
154-23-4,Catechin,,,,,2.61,2.05,2.3,12,11.06,,,,,,,,,,,
13392-26-2,Epicatechin,,,,,2.92,2.73,2.3,13.19,11.06,,,,,,,,,,,
66508-53-0,Fosmidomycin,,,,,1.1,1.95,2.25,7.41,11.06,,,,,,,,,,,
4428-95-9,Foscarnet,,,,,0.73,1.05,2.2,4.28,11.06,,,,,,,,,,,
23155-02-4,Fosfomycin,,,,,0.82,1.32,2.2,5.18,11.06,,,,,,,,,,,
113852-37-2,Cidofovir,,,,,2.09,2.08,2.2,10.97,11.06,,,,,,,,,,,
480-16-0,2'.3.4'.5.7-Pentahydroxyflavone,,,,,2.75,2.34,2.13,12.47,11.06,,,,,,,,,,,
327-97-9,Chlorogenic acid,,,,,2.13,2.61,2.08,13.44,11.06,,,,,,,,,,,
18113-18-3,2.5-Dimethoxyphenol,,,,,0.86,1.44,2,5.72,11.06,,,,,,,,,,,
117-39-5,3.3'.4'.5.7-Pentahydroxyflavone,,,,,2.68,2.2,1.92,12.33,11.06,,,,,,,,,,,
528-48-3,3.3'.4'.7-Tetrahydroxyflavone,,,,,2.53,2.19,1.9,11.78,11.06,,,,,,,,,,,
13392-18-2,Fenoterol,,,,,2.09,2.2,1.88,12.78,11.06,,,,,,,,,,,
5994-61-6,PMIDA,,,,,1.06,1.87,1.84,7.8,11.06,,,,,,,,,,,
106941-25-7,Adefovir,,,,,2.34,2.42,1.8,11.21,11.06,,,,,,,,,,,
499-12-7,Aconitic acid,,,,,0.76,1.22,1.71,5.897,11.06,,,,,,,,,,,
993-13-5,Methylphosphonic acid,,,,,0.56,1.52,1.7,3.8,11.06,,,,,,,,,,,
517-28-2,Haematoxylin,,,,,2.42,2.7,1.66,12.406,11.06,,,,,,,,,,,
149-32-6,Erythritol,,,,,0.79,1.5,1.65,5.3,11.06,,,,,,,,,,,
501-36-0,trans-Resveratrol,,,,,1.97,2.01,1.65,10.23,11.06,,,,,,,,,,,
18499-92-8,Kermesic acid,,,,,2.67,2.65,1.64,13.04,11.06,,,,,,,,,,,
149-91-7,Gallic acid,,,,,1.29,1.54,1.62,6.648,11.06,,,,,,,,,,,
491-70-3,Luteolin,,,,,2.5,2.28,1.57,11.75,11.06,,,,,,,,,,,
99-10-5,3.5-Dihydroxybenzoic acid,,,,,1.14,1.33,1.56,6.065,11.06,,,,,,,,,,,
115-77-5,Pentaerythritol,,,,,0.8,0.7,1.5,5.227,11.06,,,,,,,,,,,
501-89-3,a-Carboxy-p-toluic acid,,,,,0.9,1.35,1.5,6.547,11.06,,,,,,,,,,,
57-48-7,Fructose,,,,,1.42,1.37,1.5,7.011,11.06,,,,,,,,,,,
99-14-9,Propanetricarboxylic acid,,,,,0.63,1.52,1.46,5.925,11.06,,,,,,,,,,,
15722-48-2,Olsalazine,,,,,2.21,1.61,1.43,10.87,11.06,,,,,,,,,,,
2747-17-3,3.4.5-Tribromocatechol,,,,,2.02,2.22,1.42,9.066,11.06,,,,,,,,,,,
2321-07-5,Fluorescein,,,,,2.75,3.2,1.42,13.94,11.06,,,,,,,,,,,
533-73-3,1.2.4-Trihydroxybenzene,,,,,1.18,1.37,1.4,5.457,11.06,,,,,,,,,,,
108-73-6,1.3.5-Trihydroxybenzene,,,,,1.36,1.39,1.4,5.841,11.06,,,,,,,,,,,
610-92-4,2.5-Dihydroxyterephthalic acid,,,,,1.2,1.33,1.4,6.96,11.06,,,,,,,,,,,
18559-94-9,salbutamol,,,,,1.38,1.96,1.4,10.16,11.06,,,,,,,,,,,
555-11-1,ProstaglandinF2a,,,,,1.54,2.1,1.4,13.94,11.06,,,,,,,,,,,
446-72-0,4'.5.7-Trihydroxyisoflavone    Genistein,,,,,2.36,1.95,1.39,11.03,11.06,,,,,,,,,,,
480-41-4,2.3-Dihydro-4'.5.7-trihydroxyflavone,,,,,2.23,1.8,1.38,10.92,11.06,,,,,,,,,,,
520-36-5,4'.5.7-Trihydroxyflavone,,,,,2.36,2.45,1.38,11.62,11.06,,,,,,,,,,,
486-66-8,Daidzein,,,,,2.21,1.62,1.37,10.37,11.06,,,,,,,,,,,
331-39-5,3.4-Dihydroxycinnamic acid,,,,,1.5,1.55,1.36,7.493,11.06,,,,,,,,,,,
2196-14-7,4'.7-Dihydroxyflavone,,,,,2.15,1.88,1.36,10.38,11.06,,,,,,,,,,,
87-66-1,1.2.3-Trihydroxybenzene,,,,,1.17,1.26,1.35,5.344,11.06,,,,,,,,,,,
99-24-1,Methyl 3.4.5-trihydroxybenzoate,,,,,1.29,1.53,1.35,7.051,11.06,,,,,,,,,,,
831-61-8,Ethyl 3.4.5-trihydroxybenzoic acid,,,,,1.25,1.57,1.35,7.533,11.06,,,,,,,,,,,
121-79-9,Propyl 3.4.5-trihydroxybenzoic aci,,,,,1.21,1.59,1.35,8.002,11.06,,,,,,,,,,,
1083-41-6,Butyl 3.4.5-trihydroxybenzoic acid,,,,,1.19,1.61,1.35,8.466,11.06,,,,,,,,,,,
488-47-1,Tetrabromocatechol,,,,,2.39,2.69,1.35,10.462,11.06,,,,,,,,,,,
1878-83-7,m-Hydroxyphenoxyacetic acid,,,,,1.08,1.34,1.3,6.387,11.06,,,,,,,,,,,
1878-84-8,p-Hydroxyphenyoxyacetic acid,,,,,1.11,1.36,1.3,6.44,11.06,,,,,,,,,,,
59-23-4,Galactose,,,,,1.34,1.66,1.3,6.96,11.06,,,,,,,,,,,
31103-86-3,Mannose,,,,,1.34,1.72,1.3,6.98,11.06,,,,,,,,,,,
23031-25-6,Terbutaline,,,,,1.57,1.76,1.3,9.42,11.06,,,,,,,,,,,
63046-09-3,4'.6-Dihydroxyflavone,,,,,2.15,1.9,1.3,10.33,11.06,,,,,,,,,,,
32953-89-2,Rimiterol,,,,,1.56,1.49,1.28,8.99,11.06,,,,,,,,,,,
76420-72-9,Enalaprilat,,,,,1.62,2.48,1.28,13.21,11.06,,,,,,,,,,,
84-16-2,Hexestrol,,,,,1.62,1.73,1.26,11.3,11.06,,,,,,,,,,,
84-17-3,Dienestrol,,,,,1.87,1.84,1.26,11.42,11.06,,,,,,,,,,,
88-30-2,3-trifluoromethyl-4-nitrophenol,,,,,0.69,1.44,1.25,5.838,11.06,,,,,,,,,,,
99-50-3,3.4-Dihydroxybenzoic acid,,,,,1.14,1.29,1.22,5.868,11.06,,,,,,,,,,,
61451-78-3,Hydroxymethylphenylphosphinic acid,,,,,1.13,1.07,1.21,6.175,11.06,,,,,,,,,,,
3006-96-0,a-Hydroxy-p-toluic acid,,,,,0.95,1.03,1.2,5.444,11.06,,,,,,,,,,,
603-11-2,3-Nitrophthalic acid,,,,,1.36,2.01,1.2,7.78,11.06,,,,,,,,,,,
611-99-4,4.4'-Dihydroxybenzophenone,,,,,1.82,1.98,1.2,9.15,11.06,,,,,,,,,,,
38029-10-6,Pirbuterol,,,,,1.47,1.32,1.2,9.38,11.06,,,,,,,,,,,
18883-66-4,Streptozocin,,,,,2.11,2.75,1.2,10.91,11.06,,,,,,,,,,,
76824-35-6,Famotidine,,,,,2.69,2.14,1.2,12.83,11.06,,,,,,,,,,,
745-65-3,Prostaglandin E1,,,,,1.16,1.8,1.2,13.08,11.06,,,,,,,,,,,
94079-80-8,Cicaprost,,,,,1.4,1.8,1.2,13.71,11.06,,,,,,,,,,,
133-37-9,Tartaric acid,,,,,0.82,1.62,1.19,5.268,11.06,,,,,,,,,,,
88-99-3,Phthalic acid,,,,,1.1,1.69,1.19,6.492,11.06,,,,,,,,,,,
5588-16-9,Althiazide,,,,,2.85,2.9,1.18,14.17,11.06,,,,,,,,,,,
58-94-6,Chlorothiazide,,,,,2.18,1.32,1.16,9.26,11.06,,,,,,,,,,,
15686-71-2,Cephalexin,,,,,2.53,3.3,1.15,14,11.06,,,,,,,,,,,
110-99-6,Diglycolic acid,,,,,0.38,1.15,1.14,4.321,11.06,,,,,,,,,,,
490-79-9,2.5-Dihydroxybenzoic acid,,,,,1.14,1.33,1.14,5.883,11.06,,,,,,,,,,,
58367-01-4,Glucose,,,,,1.34,1.7,1.14,6.97,11.06,,,,,,,,,,,
577-71-9,3.4-Dinitrophenol,,,,,1.32,2.25,1.14,7.111,11.06,,,,,,,,,,,
124-04-9,Adipic acid,,,,,0.35,1.21,1.13,4.457,11.06,,,,,,,,,,,
102-71-6,Triethanolamine,,,,,0.57,0.98,1.12,5.614,11.06,,,,,,,,,,,
5394-83-2,Camphoric acid,,,,,0.52,1.36,1.12,6.852,11.06,,,,,,,,,,,
111-20-6,Sebacic acid,,,,,0.35,1.36,1.12,6.92,11.06,,,,,,,,,,,
77-36-1,Chlorthalidone,,,,,2.72,3.62,1.12,13.8,11.06,,,,,,,,,,,
6915-15-7,Malic acid,,,,,0.61,1.47,1.1,4.707,11.06,,,,,,,,,,,
111-16-0,Pimelic acid,,,,,0.35,1.26,1.1,5.277,11.06,,,,,,,,,,,
505-48-6,Suberic acid,,,,,0.35,1.36,1.1,5.926,11.06,,,,,,,,,,,
123-99-9,Azelaic acid,,,,,0.34,1.36,1.1,6.42,11.06,,,,,,,,,,,
571-60-8,1.4-Dihydroxynaphthalene,,,,,1.79,1.72,1.1,7.638,11.06,,,,,,,,,,,
92-88-6,4.4'-Dihydroxybiphenyl,,,,,1.61,1.7,1.1,8.204,11.06,,,,,,,,,,,
133-67-5,Trichloromethiazide,,,,,2.6,2.95,1.1,12.82,11.06,,,,,,,,,,,
28395-03-1,Bumetanide,,,,,2.23,2.65,1.1,14.23,11.06,,,,,,,,,,,
461-58-5,2-Cyanoguanidine,,,,,0.7,1.78,1.09,4.174,11.06,,,,,,,,,,,
108-46-3,Resorcinol,,,,,0.98,1.11,1.09,4.618,11.06,,,,,,,,,,,
132-86-5,1.3-Dihydroxynaphthalene,,,,,1.71,1.65,1.09,7.376,11.06,,,,,,,,,,,
632-24-6,2-Sulfamoylbenzoic acid,,,,,1.35,1.73,1.09,7.427,11.06,,,,,,,,,,,
82410-32-0,Ganciclovir,,,,,2.52,2.89,1.08,11.38,11.06,,,,,,,,,,,
363-24-6,ProstaglandinE2,,,,,1.48,2.35,1.08,13.88,11.06,,,,,,,,,,,
123-31-9,Hydroquinone,,,,,1.06,1.27,1.06,4.827,11.06,,,,,,,,,,,
89-86-1,2.4-Dihydroxybenzoic acid,,,,,1.14,1.16,1.06,5.573,11.06,,,,,,,,,,,
54-12-6,Tryptophan,,,,,2.1,2.03,1.06,9.391,11.06,,,,,,,,,,,
2609-46-3,Amiloride,,,,,2.28,2.3,1.06,9.78,11.06,,,,,,,,,,,
50-27-1,Estriol,,,,,1.97,1.74,1.06,11.7,11.06,,,,,,,,,,,
110-94-1,Glutaric acid,,,,,0.36,1.28,1.05,4.207,11.06,,,,,,,,,,,
21732-17-2,1-H-Tetrazole-1-acetic acid,,,,,0.82,1.42,1.05,4.57,11.06,,,,,,,,,,,
147-81-9,Arabinose,,,,,1.11,1.4,1.05,5.78,11.06,,,,,,,,,,,
25990-60-7,Xylose,,,,,1.11,1.4,1.05,5.78,11.06,,,,,,,,,,,
556-08-1,4-(Acetylamino)benzoic acid,,,,,1.12,1.4,1.05,6.888,11.06,,,,,,,,,,,
587-48-4,3-(Acetylamino)benzoic acid,,,,,1.12,1.4,1.05,6.898,11.06,,,,,,,,,,,
586-11-8,3.5-dinitrophenol,,,,,1.32,2.18,1.05,7.23,11.06,,,,,,,,,,,
138-52-3,Salicin,,,,,2,2.22,1.05,11.11,11.06,,,,,,,,,,,
51-61-6,Dopamine,,,,,1.21,1.45,1.04,6.62,11.06,,,,,,,,,,,
1419-49-4,3.4'-Dihydroxyflavone,,,,,2.18,1.9,1.04,10.3,11.06,,,,,,,,,,,
58-61-7,Adenosine,,,,,2.69,2.74,1.04,11.65,11.06,,,,,,,,,,,
110-15-6,Sucinnic acid,,,,,0.37,1.32,1.03,3.951,11.06,,,,,,,,,,,
100-21-0,Terephthalic acid,,,,,1.1,1.21,1.03,6.2,11.06,,,,,,,,,,,
73-24-5,adenine,,,,,1.66,2.15,1.03,6.79,11.06,,,,,,,,,,,
575-38-2,1.7-Dihydroxynaphthalene,,,,,1.78,1.91,1.03,7.3,11.06,,,,,,,,,,,
54-31-9,Furosemide,,,,,2.31,2.19,1.03,12.03,11.06,,,,,,,,,,,
619-57-8,4-Hydroxybenzamide,,,,,1.18,1.69,1.02,6.182,11.06,,,,,,,,,,,
492-00-2,3.7-Dihydroxyflavone,,,,,2.16,1.83,1.02,10.23,11.06,,,,,,,,,,,
76-03-9,Trichloroacetic acid,,,,,0.52,1.21,1.01,4.102,11.06,,,,,,,,,,,
103-90-2,Paracetamol,,,,,1.12,1.63,1.01,6.505,11.06,,,,,,,,,,,
80-05-7,bisphenol A,,,,,1.61,1.49,1.01,9.239,11.06,,,,,,,,,,,
92439-20-8,2'.6-Dihydroxyflavone,,,,,2.21,1.89,1.01,10.33,11.06,,,,,,,,,,,
595-46-0,Dimethylmalonic acid,,,,,0.32,1.38,1,4.522,11.06,,,,,,,,,,,
143-06-6,Hexamethylene carbamate,,,,,0.56,1.68,1,6.508,11.06,,,,,,,,,,,
138-41-0,4-Sulfamoylbenzoic acid,,,,,1.35,1.67,1,7.342,11.06,,,,,,,,,,,
636-76-0,3-Sulfamoylbenzoic acid,,,,,1.35,1.68,1,7.347,11.06,,,,,,,,,,,
55977-09-8,3'.3-Dihydroxyflavone,,,,,2.18,1.9,1,10.31,11.06,,,,,,,,,,,
56-53-1,Diethylstilbestrol,,,,,1.71,1.73,1,11.35,11.06,,,,,,,,,,,
4697-36-3,Cabenicillin,,,,,2.75,2.12,1,14,11.06,,,,,,,,,,,
55837-27-9,Piretanide,,,,,2.49,2.93,1,14.13,11.06,,,,,,,,,,,
34787-01-4,Ticarcillin,,,,,2.95,2.26,1,14.13,11.06,,,,,,,,,,,
141-82-2,Malonic acid,,,,,0.38,1.46,0.99,3.616,11.06,,,,,,,,,,,
65-49-6,4-Aminosalicylic acid,,,,,1.25,1.53,0.99,6.228,11.06,,,,,,,,,,,
609-19-8,3.4.5-Trichlorophenol,,,,,1.13,1.15,0.99,6.464,11.06,,,,,,,,,,,
75-96-7,Tribromoacetic acid,,,,,1.08,1.26,0.98,5.515,11.06,,,,,,,,,,,
575-44-0,1.6-Dihydroxynaphthalene,,,,,1.78,1.67,0.98,7.518,11.06,,,,,,,,,,,
569-42-6,1.8-Dihydroxynaphthalene,,,,,1.7,1.85,0.98,7.594,11.06,,,,,,,,,,,
57-63-6,17a-Ethynylestradiol,,,,,2.01,2.34,0.98,12.61,11.06,,,,,,,,,,,
288-88-0,1.2.4-Triazole,,,,,0.66,1.5,0.97,3.271,11.06,,,,,,,,,,,
598-02-7,Diethyl hydrogen phosphate,,,,,0.17,1,0.97,4.411,11.06,,,,,,,,,,,
110-14-5,Succinamide,,,,,0.85,1.98,0.97,5.51,11.06,,,,,,,,,,,
73-40-5,Guanine,,,,,1.8,1.46,0.97,6.566,11.06,,,,,,,,,,,
3115-39-7,Dioctyl phosphate,,,,,0.02,0.3,0.97,9.817,11.06,,,,,,,,,,,
81801-12-9,Xamoterol,,,,,1.91,2.3,0.97,12.98,11.06,,,,,,,,,,,
1804-93-9,Dipropyl hydrogen phosphate,,,,,0.13,0.89,0.96,5.27,11.06,,,,,,,,,,,
1005-31-8,4-Dimethylaminopyridine N-oxide,,,,,0.9,1.2,0.96,5.613,11.06,,,,,,,,,,,
99-05-8,3-Aminobenzoic acid,,,,,1.08,1.66,0.96,5.938,11.06,,,,,,,,,,,
121-91-5,Isophthalic acid,,,,,1.1,1.21,0.96,5.988,11.06,,,,,,,,,,,
107-66-4,Dibutylphosphate,,,,,0.09,0.8,0.96,6.133,11.06,,,,,,,,,,,
3138-42-9,Dipentyl hydrogen phosphate,,,,,0.06,0.66,0.96,7.071,11.06,,,,,,,,,,,
1198-55-6,Tetrachlorocatechol,,,,,1.4,1.63,0.96,7.377,11.06,,,,,,,,,,,
594-68-3,Triiodoacetic acid,,,,,1.9,1.31,0.96,7.449,11.06,,,,,,,,,,,
50-70-4,Sorbitol,,,,,1.25,2.3,0.96,7.67,11.06,,,,,,,,,,,
108238-41-1,3.6-Dihydroxyflavone,,,,,2.19,1.83,0.96,10.23,11.06,,,,,,,,,,,
497-76-7,Arbutin,,,,,2,2.2,0.96,10.495,11.06,,,,,,,,,,,
3138-43-0,Dinonyl hydrogen phosphate,,,,,0.01,0.18,0.96,10.67,11.06,,,,,,,,,,,
58-93-5,Hydrochlorothiazide,,,,,2.19,2.9,0.96,10.761,11.06,,,,,,,,,,,
3031-66-1,Hex-3-yne-2.5-diol,,,,,0.5,0.83,0.95,4.286,11.06,,,,,,,,,,,
510-20-3,Diethylmalonic acid,,,,,0.32,1.38,0.95,5.442,11.06,,,,,,,,,,,
14763-60-1,4-Methylsulfonylphenol,,,,,0.98,2,0.95,6.89,11.06,,,,,,,,,,,
616-75-1,Benzylmalonic acid,,,,,0.92,1.78,0.95,7.327,11.06,,,,,,,,,,,
3900-13-8,Dihexyl hydrogen phosphate,,,,,0.03,0.52,0.95,7.921,11.06,,,,,,,,,,,
838-85-7,Diphenyl hydrogen phosphate,,,,,1.22,1.58,0.95,8.658,11.06,,,,,,,,,,,
3900-12-7,Diheptyl hydrogen phosphate,,,,,0.02,0.42,0.95,8.87,11.06,,,,,,,,,,,
843-24-3,bis(4-methylphenyl) hydrogen phosphate,,,,,1.19,1.57,0.95,9.635,11.06,,,,,,,,,,,
1623-08-1,Dibenzyl hydrogen phosphate,,,,,1.2,1.52,0.95,9.724,11.06,,,,,,,,,,,
4795-31-7,Bis(4-chlorophenyl) hydrogen phosphate,,,,,1.44,1.76,0.95,9.926,11.06,,,,,,,,,,,
520-33-2,3'.5.7-Trihydroxy-4'-methoxyflavanone 14763,,,,,2.52,1.76,0.95,11.63,11.06,,,,,,,,,,,
26538-44-3,Zeranol,,,,,1.5,1.8,0.95,12,11.06,,,,,,,,,,,
61-82-5,amitrole,,,,,1.06,1.48,0.94,4.327,11.06,,,,,,,,,,,
156-38-7,(4-Hydroxyphenyl)acetic acid,,,,,1.03,1.45,0.94,5.902,11.06,,,,,,,,,,,
150-13-0,4-Aminobenzoic acid,,,,,1.08,1.65,0.94,5.916,11.06,,,,,,,,,,,
121-34-6,3-Methoxy-4-hydroxybenzoic acid,,,,,1.05,1.33,0.94,6.212,11.06,,,,,,,,,,,
501-97-3,(4-Hydroxyphenyl)propanoic acid,,,,,1.03,1.41,0.94,6.349,11.06,,,,,,,,,,,
56961-20-7,3.4.5-Trichlorocatechol,,,,,1.29,1.5,0.94,6.733,11.06,,,,,,,,,,,
58-85-5,Biotin,,,,,1.35,2.51,0.94,9.597,11.06,,,,,,,,,,,
115713-41-2,2'.8-Dihydroxyflavone,,,,,2.15,1.97,0.94,10.3,11.06,,,,,,,,,,,
95-77-2,3.4-Dichlorophenol,,,,,1.02,1.24,0.93,5.48,11.06,,,,,,,,,,,
6324-11-4,o-Hydroxyphenoxyacetic acid,,,,,1.04,1.08,0.93,5.94,11.06,,,,,,,,,,,
89-57-6,5-Aminosalicylic acid,,,,,1.25,1.53,0.93,6.279,11.06,,,,,,,,,,,
89-52-1,2-(Acetylamino)benzoic acid,,,,,1.12,1.44,0.93,6.883,11.06,,,,,,,,,,,
574-00-5,1.2-Dihydroxynaphthalene,,,,,1.7,1.6,0.93,7.29,11.06,,,,,,,,,,,
83-56-7,1.5-Dihydroxynaphthalene,,,,,1.8,1.62,0.93,7.453,11.06,,,,,,,,,,,
76-93-7,Benzilic acid,,,,,1.53,1.93,0.93,9.302,11.06,,,,,,,,,,,
53902-12-8,Tranilast,,,,,2.2,1.81,0.93,12.47,11.06,,,,,,,,,,,
79-43-6,Dichloroacetic acid,,,,,0.48,1.2,0.92,3.57,11.06,,,,,,,,,,,
631-64-1,Dibromoacetic acid,,,,,0.8,1.24,0.92,4.414,11.06,,,,,,,,,,,
591-35-5,3.5-Dichlorophenol,,,,,1.02,1.02,0.92,5.224,11.06,,,,,,,,,,,
13673-92-2,3.5-Dichlorocatechol,,,,,1.19,1.36,0.92,6.027,11.06,,,,,,,,,,,
603-12-3,2.6-Dinitrobenzoic acid,,,,,1.25,2.25,0.92,7.614,11.06,,,,,,,,,,,
71990-00-6,Bremazocine,,,,,1.8,1.51,0.92,12.1,11.06,,,,,,,,,,,
90-64-2,Mandelic acid,,,,,1.02,1.33,0.91,5.94,11.06,,,,,,,,,,,
56187-89-4,Ximoprofen,,,,,1.33,2.19,0.91,10.41,11.06,,,,,,,,,,,
2568-33-4,3-Methylbutan-1.3-diol,,,,,0.37,0.96,0.9,3.914,11.06,,,,,,,,,,,
2138-22-9,4-Chlorocatechol,,,,,1.08,1.18,0.9,5.287,11.06,,,,,,,,,,,
303-38-8,2.3-Dihydroxybenzoic acid,,,,,1.14,1.31,0.9,5.738,11.06,,,,,,,,,,,
598-89-0,Diiodoacetic acid,,,,,1.35,1.3,0.9,5.841,11.06,,,,,,,,,,,
69-89-6,Xanthine,,,,,1.39,1.47,0.9,5.917,11.06,,,,,,,,,,,
491-11-2,3-Chloro-4-nitrophenol,,,,,1.18,1.85,0.9,6.478,11.06,,,,,,,,,,,
2298-36-4,p-Aminophenoxyacetic acid,,,,,1.26,1.72,0.9,6.95,11.06,,,,,,,,,,,
14657-64-8,2-Carboxyethylphenylphosphinic acid,,,,,1.09,1.53,0.9,7.655,11.06,,,,,,,,,,,
69-65-8,Mannitol,,,,,1.25,2.42,0.9,7.82,11.06,,,,,,,,,,,
84558-93-0,Netivudine,,,,,2.2,2.4,0.9,11.05,11.06,,,,,,,,,,,
37517-30-9,Acebutolol,,,,,1.6,2.42,0.9,13.3,11.06,,,,,,,,,,,
27589-33-9,Azosemide,,,,,2.84,2.78,0.9,13.85,11.06,,,,,,,,,,,
121-57-3,Sulfanilic acid,,,,,1.17,2.59,0.89,7.22,11.06,,,,,,,,,,,
300-85-6,3-Hydroxybutanoic acid,,,,,0.39,1.42,0.88,3.97,11.06,,,,,,,,,,,
120-80-9,Catechol,,,,,0.97,1.1,0.88,4.45,11.06,,,,,,,,,,,
99-06-9,3-Hydroxybenzoic acid,,,,,0.91,0.66,0.88,4.66,11.06,,,,,,,,,,,
1477-50-5,Indole-2-carboxylic acid,,,,,1.41,1.43,0.88,6.66,11.06,,,,,,,,,,,
771-50-6,Indole-3-carboxylic acid,,,,,1.41,1.57,0.88,6.78,11.06,,,,,,,,,,,
601-84-3,2.6-Dibromobenzoic acid,,,,,1.39,1.55,0.88,7.11,11.06,,,,,,,,,,,
87-51-4,Indole-3-acetic acid,,,,,1.41,1.81,0.88,7.48,11.06,,,,,,,,,,,
6325-93-5,4-Nitrobenzenesulfonamide,,,,,1.39,2.09,0.88,7.589,11.06,,,,,,,,,,,
830-96-6,Indole-3-propionic acid,,,,,1.41,1.87,0.88,8.034,11.06,,,,,,,,,,,
72-48-0,Alizarin,,,,,2.15,2.04,0.88,9.88,11.06,,,,,,,,,,,
2554-85-0,2'.3'-Dihydroxyflavone,,,,,2.15,1.9,0.88,10.223,11.06,,,,,,,,,,,
4143-64-0,3'.4'-Dihydroxyflavone,,,,,2.15,1.91,0.88,10.23,11.06,,,,,,,,,,,
32396-64-8,7.8-Dihydroxyisoflavone,,,,,2.09,2,0.88,10.23,11.06,,,,,,,,,,,
38183-04-9,6.7-Dihydroxyflavone,,,,,2.13,1.98,0.88,10.27,11.06,,,,,,,,,,,
38183-03-8,7.8-Dihydroxyflavone,,,,,2.09,2.05,0.88,10.28,11.06,,,,,,,,,,,
4382-53-0,5-BOIAA,,,,,2.05,2.28,0.88,11.58,11.06,,,,,,,,,,,
79-14-1,Glycolic acid,,,,,0.33,1.41,0.87,2.889,11.06,,,,,,,,,,,
110-17-8,Fumaric acid,,,,,0.71,0.94,0.87,3.916,11.06,,,,,,,,,,,
50-30-6,2.6-Dichlorobenzoic acid,,,,,0.95,1.38,0.87,6.062,11.06,,,,,,,,,,,
7400-08-0,4-Hydroxycinnamic acid,,,,,1.33,1.39,0.87,6.741,11.06,,,,,,,,,,,
1707-03-5,Diphenylphosphinic acid,,,,,1.5,1.3,0.87,8.38,11.06,,,,,,,,,,,
110104-37-5,Acyclovirn2acetyl,,,,,2.42,2.2,0.87,10.92,11.06,,,,,,,,,,,
96-83-3,Iopanoic acid,,,,,2.8,2.5,0.87,13.6,11.06,,,,,,,,,,,
59-67-6,Nicotinic acid,,,,,0.88,1.03,0.86,4.579,11.06,,,,,,,,,,,
620-24-6,3-Hydroxybenzyl alcohol,,,,,1,1.17,0.86,5.147,11.06,,,,,,,,,,,
623-05-2,4-Hydroxybenzyl alcohol,,,,,1,1.3,0.86,5.27,11.06,,,,,,,,,,,
1779-48-2,Phenylphosphinic acid,,,,,1.04,1.25,0.86,5.543,11.06,,,,,,,,,,,
16993-45-6,Benzene-1.4-disulfonamide,,,,,1.65,2.54,0.86,9.04,11.06,,,,,,,,,,,
57-41-0,Phenytoin,,,,,1.71,2.23,0.86,10.236,11.06,,,,,,,,,,,
51169-17-6,4-Methylphenytoin,,,,,1.71,2.26,0.86,10.74,11.06,,,,,,,,,,,
50-28-2,Estradiol,,,,,1.8,1.77,0.86,11.1,11.06,,,,,,,,,,,
84693-92-5,16a-fluoroestradiol,,,,,2.04,2.04,0.86,11.71,11.06,,,,,,,,,,,
98-17-9,3-Trifluoromethylphenol,,,,,0.43,0.51,0.85,3.723,11.06,,,,,,,,,,,
13450-92-5,Germanium tetrabromide,,,,,1.31,-0.05,0.85,4.902,11.06,,,,,,,,,,,
452-86-8,4-Methyl-1.2-dihydroxybenzene,,,,,0.95,1.22,0.85,5.135,11.06,,,,,,,,,,,
14763-61-2,3-Methylsulfonylphenol,,,,,0.98,1.85,0.85,6.58,11.06,,,,,,,,,,,
102-07-8,1.3-Diphenylurea,,,,,1.72,1.8,0.85,9.194,11.06,,,,,,,,,,,
42200-33-9,Nadolol,,,,,1.63,1.64,0.85,11.66,11.06,,,,,,,,,,,
103628-46-2,Sumatriptan,,,,,1.87,2.28,0.85,11.78,11.06,,,,,,,,,,,
402-45-9,4-trifluoromethylphenol,,,,,0.42,0.57,0.84,3.808,11.06,,,,,,,,,,,
873-62-1,3-Cyanophenol,,,,,0.93,1.55,0.84,5.181,11.06,,,,,,,,,,,
7120-01-6,SKB2,,,,,1.31,1.34,0.84,6.305,11.06,,,,,,,,,,,
17194-82-0,4-hydroxyphenylacetamide,,,,,1.18,2.08,0.84,6.92,11.06,,,,,,,,,,,
73-31-4,Melatonin,,,,,1.6,2.33,0.84,10.17,11.06,,,,,,,,,,,
1491-59-4,Oxymetazoline,,,,,1.35,1.45,0.84,10.309,11.06,,,,,,,,,,,
57-13-6,Urea,,,,,0.5,1.49,0.83,3.32,11.06,,,,,,,,,,,
543-24-8,Acetylglycine,,,,,0.58,1.7,0.83,4.69,11.06,,,,,,,,,,,
121808-62-6,Pidotimod,,,,,1.66,2.1,0.83,9.154,11.06,,,,,,,,,,,
503-66-2,3-Hydroxypropanoic acid,,,,,0.37,0.99,0.82,3.113,11.06,,,,,,,,,,,
111-42-2,Diethanolamine,,,,,0.52,0.8,0.82,4,11.06,,,,,,,,,,,
