CAS , ringCount
108-37-2 ,1
108-38-3 ,1
108-39-4 ,1
108-41-8 ,1
108-42-9 ,1
108-43-0 ,1
108-44-1 ,1
108-45-2 ,1
108-46-3 ,1
108-47-4 ,1
108-48-5 ,1
108-50-9 ,1
1085-12-7 ,1
108-59-8 ,0
108-60-1 ,0
108-64-5 ,0
108-65-6 ,0
108-67-8 ,1
108-68-9 ,1
108-69-0 ,1
108-70-3 ,1
108-73-6 ,1
108-75-8 ,1
1088-11-5 ,2
108-82-7 ,0
108-83-8 ,0
108-84-9 ,0
108-85-0 ,0
108-86-1 ,1
108-87-2 ,0
108-88-3 ,1
108-89-4 ,1
108-90-7 ,1
108-91-8 ,0
108-93-0 ,0
108-94-1 ,0
108-95-2 ,1
108-98-5 ,1
108-99-6 ,1
109-01-3 ,0
109-02-4 ,0
109-04-6 ,1
109-05-7 ,0
109-06-8 ,1
109-07-9 ,0
109-08-0 ,1
109-09-1 ,1
109-19-3 ,0
109-21-7 ,0
109-49-9 ,0
109-52-4 ,0
109-53-5 ,0
109-55-7 ,0
109-57-9 ,0
109-59-1 ,0
109-60-4 ,0
109-64-8 ,0
109-65-9 ,0
109-69-3 ,0
109-70-6 ,0
109-73-9 ,0
109-74-0 ,0
109-75-1 ,0
109-76-2 ,0
109-77-3 ,0
109-79-5 ,0
109-80-8 ,0
109-83-1 ,0
109-85-3 ,0
109-86-4 ,0
109-89-7 ,0
109-96-6 ,0
109-97-7 ,1
109-99-9 ,0
110-01-0 ,0
110-02-1 ,1
110-05-4 ,0
110-06-5 ,0
110104-37-5 ,2
110-12-3 ,0
110-13-4 ,0
110-14-5 ,0
110-15-6 ,0
110-16-7 ,0
110-17-8 ,0
110-19-0 ,0
110-27-0 ,0
110-38-3 ,0
110-40-7 ,0
110-42-9 ,0
110-43-0 ,0
110-44-1 ,0
110-45-2 ,0
110-46-3 ,0
110-49-6 ,0
110-52-1 ,0
110-53-2 ,0
110-54-3 ,0
110-56-5 ,0
110-57-6 ,0
110-58-7 ,0
110-59-8 ,0
110-60-1 ,0
110-61-2 ,0
110-62-3 ,0
110-63-4 ,0
110-64-5 ,0
110-66-7 ,0
110-68-9 ,0
110-69-0 ,0
110-71-4 ,0
110-73-6 ,0
110-74-7 ,0
110-75-8 ,0
110-76-9 ,0
110-78-1 ,0
110-80-5 ,0
110-81-6 ,0
110-82-7 ,0
110-83-8 ,0
110-85-0 ,0
110-86-1 ,1
110-87-2 ,0
110-89-4 ,0
110-91-8 ,0
110-93-0 ,0
110-94-1 ,0
110-96-3 ,0
110-97-4 ,0
110-99-6 ,0
111-06-8 ,0
111-11-5 ,0
111-12-6 ,0
111-13-7 ,0
111-14-8 ,0
111-15-9 ,0
111-16-0 ,0
111-20-6 ,0
111-24-0 ,0
111-25-1 ,0
111-26-2 ,0
111-27-3 ,0
111-29-5 ,0
1113-02-6 ,0
111-30-8 ,0
111-31-9 ,0
111-34-2 ,0
111-35-3 ,0
111-36-4 ,0
111-42-2 ,0
111-43-3 ,0
111-44-4 ,0
111-45-5 ,0
111-46-6 ,0
111-47-7 ,0
111-48-8 ,0
111-55-7 ,0
111-61-5 ,0
111-65-9 ,0
111-66-0 ,0
1116-76-3 ,0
111-68-2 ,0
111-69-3 ,0
111-70-6 ,0
111-71-7 ,0
1117-59-5 ,0
111-76-2 ,0
111-77-3 ,0
111-78-4 ,0
1117-86-8 ,0
111-82-0 ,0
111-83-1 ,0
111-84-2 ,0
111-85-3 ,0
111-86-4 ,0
1118-69-0 ,0
111-87-5 ,0
111-88-6 ,0
