CAS , ringCount
20579-43-5 ,1
205-82-3 ,5
2058-74-4 ,1
205-99-2 ,5
206-44-0 ,4
20651-71-2 ,1
2065-23-8 ,1
20662-84-4 ,1
207-08-9 ,5
20739-58-6 ,0
2078-54-8 ,1
20809-46-5 ,0
20815-29-6 ,1
20820-82-0 ,1
2088-24-6 ,1
208-96-8 ,2
20928-02-3 ,3
2113-58-8 ,2
2131-38-6 ,2
2131-41-1 ,2
2131-42-2 ,2
2131-43-3 ,2
213-46-7 ,5
2136-99-4 ,2
2138-22-9 ,1
21391-99-1 ,1
214-17-5 ,5
2142-68-9 ,1
2146-38-5 ,0
2150-18-7 ,1
2152-34-3 ,1
2152-56-9 ,0
215-58-7 ,5
2156-96-9 ,0
2156-97-0 ,0
2162-99-4 ,0
2163-00-0 ,0
2164-17-2 ,1
2167-39-7 ,0
21725-46-2 ,1
2173-56-0 ,0
217-59-4 ,4
2176-98-9 ,0
2177-47-1 ,1
2177-77-7 ,0
2179-57-9 ,0
2179-59-1 ,0
2179-60-4 ,0
218-01-9 ,4
21829-25-4 ,1
2189-60-8 ,1
219-25-0 ,4
21948-70-9 ,1
2198-53-0 ,1
2198-61-0 ,0
21987-21-3 ,0
22047-25-2 ,1
22071-15-4 ,2
2210-28-8 ,0
22104-79-6 ,0
2211-68-9 ,0
2211-69-0 ,0
2212-67-1 ,0
22131-79-9 ,1
2213-23-2 ,0
2213-32-3 ,0
2215-77-2 ,2
2216-30-0 ,0
2216-32-2 ,0
2216-33-3 ,0
2216-34-4 ,0
2216-45-7 ,1
2216-69-5 ,2
2216-87-7 ,0
2219-73-0 ,1
2219-82-1 ,1
22204-53-1 ,2
22272-48-6 ,2
22287-02-1 ,0
22311-25-7 ,1
22316-47-8 ,2
2233-29-6 ,1
2234-75-5 ,0
2237-30-1 ,1
2239-78-3 ,0
2243-27-8 ,0
2243-42-7 ,2
2243-89-2 ,2
2243-90-5 ,2
224-41-9 ,5
2245-38-7 ,2
22469-52-9 ,0
22494-42-4 ,2
225-11-6 ,4
225-51-4 ,4
22567-17-5 ,0
2270-20-4 ,1
2282-84-0 ,1
22916-47-8 ,3
22936-75-0 ,1
22975-62-8 ,1
229-87-8 ,3
230-27-3 ,3
2303-16-4 ,0
2303-17-5 ,0
23086-43-3 ,1
2310-17-0 ,2
23103-98-2 ,1
2311-46-8 ,0
23135-22-0 ,0
2313-65-7 ,0
2314-48-9 ,0
2315-68-6 ,1
233-02-3 ,3
2338-25-2 ,2
234-41-3 ,3
2345-27-9 ,0
2345-28-0 ,0
2345-34-8 ,1
2349-13-5 ,0
23580-52-1 ,1
23597-82-2 ,1
23617-71-2 ,1
2363-71-5 ,0
2365-48-2 ,0
2370-63-0 ,0
23708-56-7 ,0
2371-19-9 ,0
2373-84-4 ,0
2381-21-7 ,4
2385-85-5 ,0
2387-78-2 ,0
238-84-6 ,3
239-35-0 ,4
23947-60-6 ,1
2395-96-2 ,3
2395-97-3 ,3
23978-09-8 ,0
2398-37-0 ,1
2403-22-7 ,1
2404-35-5 ,0
2408-20-0 ,0
2409-55-4 ,1
2411-36-1 ,0
2412-80-8 ,0
2416-94-6 ,1
24219-97-4 ,2
2422-79-9 ,4
2423-71-4 ,1
2425-54-9 ,0
24262-66-6 ,1
24295-03-2 ,1
243-17-4 ,3
2432-51-1 ,0
2433-96-7 ,0
24342-03-8 ,0
2436-93-3 ,2
2437-25-4 ,0
2437-56-1 ,0
2437-79-8 ,2
2440-40-6 ,0
2440-42-8 ,0
2445-67-2 ,0
2445-72-9 ,0
2445-76-3 ,0
2446-69-7 ,1
2453-46-5 ,0
2459-24-7 ,2
2459-25-8 ,2
24680-50-0 ,1
24703-35-3 ,0
2473-01-0 ,0
24768-42-1 ,0
24768-46-5 ,0
24807-55-4 ,1
24851-98-7 ,0
2497-18-9 ,0
2498-66-0 ,3
2498-77-3 ,4
2499-58-3 ,0
2499-59-4 ,0
2499-95-8 ,0
25081-39-4 ,1
2508-29-4 ,0
25152-84-5 ,0
2516-33-8 ,0
2516-96-3 ,1
2517-43-3 ,0
2523-37-7 ,2
25246-27-9 ,0
2525-62-4 ,0
2528-38-3 ,0
2530-26-9 ,1
25309-64-2 ,1
25311-71-1 ,1
2531-84-2 ,3
2532-58-3 ,0
2534-77-2 ,0
253-52-1 ,2
253-66-7 ,2
253-82-7 ,2
25413-64-3 ,0
25415-62-7 ,0
25415-67-2 ,0
25415-71-8 ,0
25415-77-4 ,0
25415-84-3 ,0
2541-69-7 ,4
25451-15-4 ,1
254-79-5 ,2
2548-87-0 ,0
2550-21-2 ,0
2550-26-7 ,1
25532-79-0 ,0
25569-80-6 ,2
2568-33-4 ,0
2568-89-0 ,0
2568-90-3 ,0
2568-91-4 ,0
2568-92-5 ,0
2568-96-9 ,0
25812-30-0 ,1
2581-34-2 ,1
2589-71-1 ,1
25961-91-5 ,0
25990-60-7 ,0
260-94-6 ,3
26158-99-6 ,0
26159-35-3 ,2
26171-23-3 ,2
262-12-4 ,2
26225-79-6 ,1
26232-98-4 ,0
2623-50-9 ,2
26259-45-0 ,1
26288-16-4 ,0
2639-63-6 ,0
26399-36-0 ,1
26538-44-3 ,1
26560-14-5 ,0
26621-45-4 ,1
2664-55-3 ,0
26825-83-2 ,0
268-77-9 ,3
2691-41-0 ,0
2696-43-7 ,0
2696-84-6 ,1
2702-58-1 ,1
271-58-9 ,2
271-63-6 ,2
2717-42-2 ,2
271-89-6 ,2
27203-92-5 ,1
2724-58-5 ,0
273-53-0 ,2
2738-19-4 ,0
274-09-9 ,1
27522-11-8 ,0
275-51-4 ,2
27554-26-3 ,1
2758-18-1 ,0
27625-35-0 ,0
2765-18-6 ,2
27674-74-4 ,1
27817-67-0 ,0
2785-87-7 ,1
279-23-2 ,0
2807-30-9 ,0
2808-80-2 ,0
2809-67-8 ,0
281-23-2 ,0
28159-98-0 ,1
28177-48-2 ,1
2825-83-4 ,0
28267-29-0 ,0
28387-44-2 ,0
2845-89-8 ,1
28469-92-3 ,1
2847-72-5 ,0
28477-64-7 ,0
2849-98-1 ,0
28553-12-0 ,1
2859-68-9 ,1
2868-37-3 ,0
2869-34-3 ,0
2876-53-1 ,2
287-92-3 ,0
288-13-1 ,1
288-32-4 ,1
288-47-1 ,1
288-88-0 ,1
288-94-8 ,1
28911-01-5 ,3
28973-97-9 ,0
289-80-5 ,1
28981-97-7 ,3
28994-41-4 ,2
289-95-2 ,1
290-37-9 ,1
2905-67-1 ,1
29082-74-4 ,1
29122-68-7 ,1
2915-72-2 ,1
2916-31-6 ,0
291-64-5 ,0
2919-23-5 ,0
2921-88-2 ,1
2922-51-2 ,0
292-64-8 ,0
29316-05-0 ,1
2933-94-0 ,1
293-55-0 ,0
293-96-9 ,0
294-41-7 ,0
2944-49-2 ,1
29460-92-2 ,1
294-62-2 ,0
294-93-9 ,0
295-17-0 ,0
29518-02-3 ,0
2973-78-6 ,1
2974-90-5 ,2
2974-92-7 ,2
298-00-0 ,1
298-04-4 ,0
2983-37-1 ,0
2983-38-2 ,0
29837-07-8 ,0
29837-12-5 ,0
298-46-4 ,2
2987-16-8 ,0
29873-99-2 ,0
298-81-7 ,3
2991-28-8 ,1
299-42-3 ,1
29975-16-4 ,3
2998-23-4 ,0
299-84-3 ,1
3001-98-7 ,0
30021-74-0 ,0
3002-24-2 ,0
300-57-2 ,1
300-62-9 ,1
3006-96-0 ,1
3007-71-4 ,1
300-85-6 ,0
301-00-8 ,0
3011-76-5 ,0
3017-95-6 ,0
302-17-0 ,0
3031-66-1 ,0
303-38-8 ,1
303-49-1 ,2
303-53-7 ,2
3048-64-4 ,0
304-88-1 ,2
305-03-3 ,1
30516-87-1 ,1
30533-08-5 ,0
30560-19-1 ,0
3060-89-7 ,1
30673-60-0 ,0
3068-88-0 ,0
3070-53-9 ,0
3073-66-3 ,0
3073-92-5 ,0
3074-71-3 ,0
3074-75-7 ,0
3074-76-8 ,0
3074-77-9 ,0
30796-92-0 ,4
309-00-2 ,0
3112-85-4 ,1
3113-71-1 ,1
311-45-5 ,1
3114-70-3 ,0
312-73-2 ,2
3129-42-8 ,0
3129-43-9 ,0
31317-07-4 ,3
31317-19-8 ,3
3132-64-7 ,0
3132-99-8 ,1
314-40-9 ,1
3149-28-8 ,1
31501-11-8 ,0
31508-00-6 ,2
315-30-0 ,2
3153-37-5 ,0
31575-35-6 ,1
316-49-4 ,4
3178-22-1 ,0
3178-29-8 ,0
3179-47-3 ,0
31828-71-4 ,1
31842-01-0 ,2
319-84-6 ,0
319-85-7 ,0
319-86-8 ,0
32064-72-5 ,0
3208-16-0 ,1
3209-22-1 ,1
321-14-2 ,1
321-28-8 ,1
321-60-8 ,2
321-64-2 ,2
3217-86-5 ,0
3221-61-2 ,0
3238-38-8 ,1
32598-10-0 ,2
32598-11-1 ,2
32598-12-2 ,2
32598-13-3 ,2
32598-14-4 ,2
326-06-7 ,1
3268-49-3 ,0
32690-93-0 ,2
326-91-0 ,1
327-19-5 ,2
32749-94-3 ,0
327-54-8 ,1
32774-16-6 ,2
3296-50-2 ,0
329-71-5 ,1
330-12-1 ,1
33025-41-1 ,2
330-54-1 ,1
330-55-2 ,1
33083-83-9 ,0
33091-17-7 ,2
33100-27-5 ,0
331-39-5 ,1
33146-45-1 ,2
33213-65-9 ,0
33228-44-3 ,1
33228-45-4 ,1
33284-50-3 ,2
33284-52-5 ,2
33284-53-6 ,2
33284-54-7 ,2
3338-55-4 ,0
334-48-5 ,0
334-56-5 ,0
33467-73-1 ,0
33467-74-2 ,0
33467-76-4 ,0
334-68-9 ,0
3350-30-9 ,0
3351-28-8 ,4
3351-30-2 ,4
3351-31-3 ,4
3351-32-4 ,4
335-48-8 ,0
335-99-9 ,0
3360-41-6 ,1
33626-25-4 ,0
33671-46-4 ,2
33693-04-8 ,1
33719-74-3 ,1
3380-34-5 ,2
3386-33-2 ,0
3387-41-5 ,0
3391-86-4 ,0
3393-64-4 ,0
33972-81-5 ,0
33979-03-2 ,2
3400-45-1 ,0
3404-61-3 ,0
3404-65-7 ,0
3404-71-5 ,0
3404-73-7 ,0
3410-54-6 ,0
34123-59-6 ,1
3424-82-6 ,2
34256-82-1 ,1
3438-46-8 ,1
3438-48-0 ,2
3442-78-2 ,4
3446-89-7 ,1
3481-20-7 ,1
348-51-6 ,1
348-52-7 ,1
348-54-9 ,1
34883-39-1 ,2
34883-41-5 ,2
34883-43-7 ,2
349-76-8 ,1
34981-11-8 ,1
350-03-8 ,1
350-46-9 ,1
350-50-5 ,1
35065-27-1 ,2
35065-28-2 ,2
35065-29-3 ,2
35065-30-6 ,2
35073-27-9 ,0
35112-28-8 ,1
351-36-0 ,1
35153-15-2 ,0
3520-52-3 ,1
3522-94-9 ,0
352-32-9 ,1
352-33-0 ,1
352-34-1 ,1
3524-73-0 ,0
352-70-5 ,1
352-87-4 ,0
352-93-2 ,0
35367-38-5 ,2
354-04-1 ,0
354-15-4 ,0
354-21-2 ,0
354-30-3 ,0
35572-78-2 ,1
3558-60-9 ,1
35599-77-0 ,0
35599-78-1 ,0
3561-84-0 ,1
35693-92-6 ,2
35693-99-3 ,2
35694-04-3 ,2
35694-06-5 ,2
35694-08-7 ,2
3575-19-7 ,1
357-70-0 ,1
35852-46-1 ,0
35926-04-6 ,0
35926-06-8 ,0
3603-99-4 ,0
36104-80-0 ,2
3618-12-0 ,0
36262-09-6 ,0
36301-29-8 ,1
36322-90-4 ,2
3634-92-2 ,0
363-72-4 ,1
3637-61-4 ,0
3637-63-6 ,0
36404-30-5 ,1
364-62-5 ,1
3648-21-3 ,1
3652-91-3 ,3
36559-22-5 ,2
3658-80-8 ,0
366-18-7 ,2
36653-82-4 ,0
36685-97-9 ,1
367-11-3 ,1
367-12-4 ,1
367-23-7 ,1
367-25-9 ,1
367-30-6 ,1
367-57-7 ,0
3681-78-5 ,0
3683-19-0 ,0
3683-22-5 ,0
36894-69-6 ,2
3691-11-0 ,0
36917-36-9 ,1
3697-24-3 ,4
3698-89-3 ,0
3698-94-0 ,0
3698-95-1 ,0
370-14-9 ,1
37064-20-3 ,0
3710-30-3 ,0
371-40-4 ,1
371-41-5 ,1
372-09-8 ,0
372-18-9 ,1
372-19-0 ,1
3721-95-7 ,0
372-20-3 ,1
372-38-3 ,1
3724-55-8 ,0
372-46-3 ,0
372-47-4 ,1
372-48-5 ,1
3727-31-9 ,0
373-14-8 ,0
373-44-4 ,0
3741-00-2 ,0
3748-84-3 ,1
37517-30-9 ,1
37529-27-4 ,1
37529-29-6 ,1
37529-30-9 ,1
37587-81-8 ,0
37587-86-3 ,0
375-96-2 ,0
3760-14-3 ,0
3761-94-2 ,0
37680-65-2 ,2
37680-66-3 ,2
37680-68-5 ,2
37680-69-6 ,2
37680-73-2 ,2
3769-23-1 ,0
3770-48-7 ,3
3777-69-3 ,1
3777-70-6 ,1
3777-71-7 ,1
3779-61-1 ,0
3796-70-1 ,0
38028-67-0 ,1
38194-50-2 ,2
38379-99-6 ,2
38380-01-7 ,2
38380-02-8 ,2
38380-03-9 ,2
38380-04-0 ,2
38380-05-1 ,2
38380-07-3 ,2
38380-08-4 ,2
3839-22-3 ,1
38404-42-1 ,1
38411-22-2 ,2
38411-25-5 ,2
38444-73-4 ,2
38444-76-7 ,2
38444-77-8 ,2
38444-78-9 ,2
38444-81-4 ,2
38444-84-7 ,2
38444-85-8 ,2
38444-86-9 ,2
38444-87-0 ,2
38444-88-1 ,2
38444-90-5 ,2
38444-93-8 ,2
385-00-2 ,1
3855-26-3 ,1
3856-25-5 ,0
3875-51-2 ,0
3877-15-4 ,0
389-08-2 ,2
3902-71-4 ,3
39029-41-9 ,0
3913-81-3 ,0
3916-44-7 ,2
39255-32-8 ,0
392-56-3 ,1
3930-20-9 ,1
3937-56-2 ,0
3938-95-2 ,0
3938-96-3 ,0
394-35-4 ,1
3943-74-6 ,1
39485-83-1 ,2
39562-70-4 ,1
396-01-0 ,3
39608-47-4 ,1
39635-31-9 ,2
39635-35-3 ,2
3964-18-9 ,0
3964-56-5 ,1
3970-62-5 ,0
3978-81-2 ,1
3982-64-7 ,1
3982-66-9 ,1
4008-48-4 ,2
40186-70-7 ,2
40186-71-8 ,2
40186-72-9 ,2
402-45-9 ,1
402-67-5 ,1
4032-86-4 ,0
403-33-8 ,1
403-42-9 ,1
4048-33-3 ,0
404-86-4 ,1
4050-45-7 ,0
4054-38-0 ,0
4074-43-5 ,1
4074-46-8 ,1
4080-46-0 ,0
40813-84-1 ,0
4099-71-2 ,1
4110-44-5 ,0
4110-50-3 ,0
41114-00-5 ,0
41175-50-2 ,1
4126-78-7 ,0
4130-42-1 ,1
4132-77-8 ,1
41394-05-2 ,2
41411-62-5 ,2
41411-63-6 ,2
41411-64-7 ,2
4143-63-9 ,3
41464-39-5 ,2
41464-40-8 ,2
41464-41-9 ,2
41464-42-0 ,2
41464-43-1 ,2
41464-46-4 ,2
41464-47-5 ,2
41464-48-6 ,2
41464-49-7 ,2
41464-51-1 ,2
4147-51-7 ,1
4161-60-8 ,0
4170-24-5 ,0
4177-16-6 ,1
4191-73-5 ,1
4200-95-7 ,0
4205-90-7 ,1
421-01-2 ,0
4212-43-5 ,0
4218-48-8 ,1
42200-33-9 ,1
4229-91-8 ,1
4230-93-7 ,1
4238-71-5 ,2
4245-35-6 ,0
42472-93-5 ,1
42474-44-2 ,0
42509-80-8 ,1
4253-89-8 ,0
42542-10-9 ,1
42565-22-0 ,0
4265-25-2 ,2
42740-50-1 ,2
4282-40-0 ,0
4282-42-2 ,0
4282-44-4 ,0
4285-59-0 ,0
4292-04-0 ,0
4292-19-7 ,0
431-21-0 ,0
43121-43-3 ,2
433-97-6 ,1
434-22-0 ,0
434-64-0 ,1
437-38-7 ,2
4375-14-8 ,0
4376-18-5 ,1
4385-35-7 ,1
438-60-8 ,2
439-14-5 ,2
4394-00-7 ,2
4394-85-8 ,0
4415-82-1 ,0
4430-36-8 ,0
443-48-1 ,1
4439-24-1 ,0
444-30-4 ,1
4448-75-3 ,0
445-27-2 ,1
445-29-4 ,1
4461-87-4 ,0
446-35-5 ,1
446-52-6 ,1
4466-24-4 ,1
447-53-0 ,1
4478-93-7 ,0
4481-30-5 ,1
4485-09-0 ,0
4519-39-5 ,1
4521-28-2 ,1
452-71-1 ,1
452-86-8 ,1
453-18-9 ,0
453-71-4 ,1
454-92-2 ,1
4549-31-9 ,0
4549-32-0 ,0
4549-33-1 ,0
4551-51-3 ,0
455-24-3 ,1
455-38-9 ,1
455-40-3 ,1
455-68-5 ,1
455-86-7 ,1
456-22-4 ,1
456-48-4 ,1
456-49-5 ,1
456-55-3 ,1
4567-98-0 ,0
458-88-8 ,0
4595-59-9 ,1
4595-60-2 ,1
459-57-4 ,1
459-60-9 ,1
459-72-3 ,0
460-00-4 ,1
461-58-5 ,0
462-06-6 ,1
4628-21-1 ,0
462-94-2 ,0
462-95-3 ,0
4630-20-0 ,3
4630-82-4 ,0
463-11-6 ,0
463-18-3 ,0
463-40-1 ,0
464-06-2 ,0
464-07-3 ,0
4655-34-9 ,0
465-65-6 ,1
4658-28-0 ,1
4673-31-8 ,1
4674-50-4 ,0
46817-91-8 ,1
4685-47-6 ,1
469-21-6 ,2
469-61-4 ,0
469-62-5 ,2
470-40-6 ,0
4706-90-5 ,1
4707-47-5 ,1
470-82-6 ,0
471-12-5 ,0
471-84-1 ,0
473-13-2 ,0
475-20-7 ,0
477-75-8 ,3
4792-15-8 ,0
479-45-8 ,1
4798-44-1 ,0
480-40-0 ,3
481-21-0 ,0
4812-20-8 ,1
4815-57-0 ,1
482-89-3 ,2
483-76-1 ,0
483-78-3 ,2
484-20-8 ,3
486-25-9 ,2
486-56-6 ,1
4869-59-4 ,1
487-68-3 ,1
488-23-3 ,1
488-70-0 ,1
489-39-4 ,0
489-40-7 ,0
4894-61-5 ,0
4901-51-3 ,1
490-79-9 ,1
491-35-0 ,2
4914-91-4 ,0
491-70-3 ,3
491-78-1 ,3
491-80-5 ,3
4919-33-9 ,1
4920-77-8 ,1
4920-99-4 ,1
492-22-8 ,3
492-37-5 ,1
493-09-4 ,1
4938-52-7 ,0
494-90-6 ,1
495-40-9 ,1
495-60-3 ,0
495-61-4 ,0
496-10-6 ,0
496-11-7 ,1
496-14-0 ,1
496-15-1 ,1
496-67-3 ,0
496-78-6 ,1
497-03-0 ,0
497-06-3 ,0
498-02-2 ,1
498-66-8 ,0
499-06-9 ,1
499-75-2 ,1
500-22-1 ,1
50-06-6 ,1
5008-72-0 ,0
5008-73-1 ,0
5009-32-5 ,0
500-99-2 ,1
50-11-3 ,0
501-24-6 ,1
501-30-4 ,1
501-36-0 ,2
501-52-0 ,1
501-97-3 ,1
50-21-5 ,0
502-41-0 ,0
502-42-1 ,0
502-49-8 ,0
502-56-7 ,0
502-61-4 ,0
50-27-1 ,1
502-72-7 ,0
50277-34-4 ,1
50-28-2 ,1
50-29-3 ,2
50-30-6 ,1
50-32-8 ,5
50-33-9 ,2
50-35-1 ,1
50-36-2 ,1
503-74-2 ,0
50375-10-5 ,1
504-02-9 ,0
504-24-5 ,1
504-29-0 ,1
504-63-2 ,0
50-47-5 ,2
50-48-6 ,2
50-49-7 ,2
505-22-6 ,0
50-53-3 ,2
5053-43-0 ,1
505-48-6 ,0
505-60-2 ,0
505-65-7 ,0
505-84-0 ,0
506-05-8 ,0
506-12-7 ,0
506-30-9 ,0
506-32-1 ,0
506-83-2 ,0
50-70-4 ,0
507-19-7 ,0
507-36-8 ,0
507-70-0 ,0
50-78-2 ,1
5081-36-7 ,1
50-81-7 ,0
508-32-7 ,0
50-84-0 ,1
509-14-8 ,0
510-15-6 ,2
510-20-3 ,0
5103-71-9 ,0
5103-74-2 ,0
5104-49-4 ,2
51-06-9 ,1
511-15-9 ,1
511-59-1 ,0
51169-17-6 ,2
51-17-2 ,2
51218-45-2 ,1
512-56-1 ,0
512-61-8 ,0
51-28-5 ,1
5129-46-4 ,0
5129-48-6 ,0
5129-72-6 ,0
513-08-6 ,0
513-36-0 ,0
513-37-1 ,0
513-42-8 ,0
51-34-3 ,1
513-44-0 ,0
513-48-4 ,0
513-53-1 ,0
51-36-5 ,1
5137-45-1 ,0
513-81-5 ,0
513-85-9 ,0
513-86-0 ,0
513-88-2 ,0
51-44-5 ,1
514-51-2 ,0
51-45-6 ,1
5145-99-3 ,0
514-62-5 ,1
514-65-8 ,1
5150-42-5 ,1
515-13-9 ,0
51-52-5 ,1
51-55-8 ,1
515-64-0 ,2
515-82-2 ,0
515-84-4 ,0
5160-99-6 ,1
51-61-6 ,1
51-66-1 ,1
51-67-2 ,1
51-79-6 ,0
51803-78-2 ,2
5183-78-8 ,1
51908-16-8 ,2
51911-82-1 ,0
51940-44-4 ,2
519-44-8 ,1
5194-50-3 ,0
5194-51-4 ,0
519-73-3 ,3
520-33-2 ,2
5208-59-3 ,0
521-11-9 ,0
521-35-7 ,2
521-74-4 ,2
522-24-7 ,2
52315-07-8 ,2
523-31-9 ,3
523-47-7 ,0
523-80-8 ,1
52-43-7 ,0
524-42-5 ,1
525-66-6 ,2
525-82-6 ,3
526-08-9 ,3
526-36-3 ,1
52645-53-1 ,2
52663-58-8 ,2
52663-59-9 ,2
52663-60-2 ,2
52663-61-3 ,2
52663-62-4 ,2
52663-63-5 ,2
52663-64-6 ,2
52663-65-7 ,2
52663-66-8 ,2
52663-67-9 ,2
52663-68-0 ,2
52663-69-1 ,2
52663-70-4 ,2
52663-71-5 ,2
52663-72-6 ,2
52663-73-7 ,2
52663-74-8 ,2
52663-75-9 ,2
52663-76-0 ,2
52663-77-1 ,2
52663-78-2 ,2
52663-79-3 ,2
526-73-8 ,1
526-75-0 ,1
526-85-2 ,1
52-68-6 ,0
52704-70-8 ,2
52712-04-6 ,2
52712-05-7 ,2
527-20-8 ,1
527-35-5 ,1
52744-13-5 ,2
527-53-7 ,1
527-54-8 ,1
527-60-6 ,1
527-84-4 ,1
528-29-0 ,1
528-45-0 ,1
5285-87-0 ,1
52-86-8 ,2
528-75-6 ,1
52888-80-9 ,1
529-05-5 ,2
529-16-8 ,0
529-19-1 ,1
529-20-4 ,1
529-21-5 ,1
529-33-9 ,1
529-35-1 ,1
530-44-9 ,2
530-57-4 ,1
530-59-6 ,1
5307-14-2 ,1
530-78-9 ,2
530-91-6 ,1
53112-28-0 ,2
53-16-7 ,1
53-19-0 ,2
532-03-6 ,1
532-27-4 ,1
5331-48-6 ,0
533-18-6 ,1
5332-24-1 ,2
5332-52-5 ,0
5332-73-0 ,0
533-58-4 ,1
5336-53-8 ,2
533-73-3 ,1
533-75-5 ,1
53392-86-2 ,0
534-15-6 ,0
5341-95-7 ,0
534-22-5 ,1
5343-92-0 ,0
53448-07-0 ,0
5344-97-8 ,1
534-52-1 ,1
53494-70-5 ,0
53555-66-1 ,2
535-77-3 ,1
535-80-8 ,1
53583-79-2 ,1
53585-13-0 ,0
536-25-4 ,1
536-60-7 ,1
536-74-3 ,1
536-75-4 ,1
536-78-7 ,1
536-88-9 ,1
536-90-3 ,1
53-70-3 ,5
537-92-8 ,1
53-86-1 ,3
538-68-1 ,1
538-74-9 ,2
538-86-3 ,1
538-93-2 ,1
53902-12-8 ,2
539-15-1 ,1
539-30-0 ,1
53957-33-8 ,1
5396-24-7 ,0
53966-36-2 ,0
539-82-2 ,0
539-90-2 ,0
54004-43-2 ,0
540-07-8 ,0
540-18-1 ,0
540-36-3 ,1
540-37-4 ,1
540-38-5 ,1
540-42-1 ,0
54048-10-1 ,0
540-51-2 ,0
5405-41-4 ,0
54056-51-8 ,0
54-05-7 ,2
54063-53-5 ,2
540-63-6 ,0
5406-58-6 ,1
5407-98-7 ,1
540-84-1 ,0
5408-57-1 ,0
540-88-5 ,0
54-11-5 ,1
54119-29-8 ,1
54-12-6 ,2
541-28-6 ,0
541-31-1 ,0
541-35-5 ,0
54135-80-7 ,1
54135-81-8 ,1
54135-82-9 ,1
54143-55-4 ,1
541-46-8 ,0
541-59-3 ,0
541-73-1 ,1
541-85-5 ,0
542-10-9 ,0
542-18-7 ,0
5422-88-8 ,1
542-28-9 ,0
54230-22-7 ,2
542-54-1 ,0
542-55-2 ,0
542-56-3 ,0
542-69-8 ,0
542-76-7 ,0
5428-54-6 ,1
542-85-8 ,0
54290-22-1 ,1
542-90-5 ,0
5429-28-7 ,1
543-24-8 ,0
543-49-7 ,0
543-59-9 ,0
5437-45-6 ,1
544-01-4 ,0
544-02-5 ,0
544-10-5 ,0
544-13-8 ,0
544-15-0 ,0
544-16-1 ,0
544-25-2 ,0
544-40-1 ,0
544-63-8 ,0
544-76-3 ,0
544-77-4 ,0
545-06-2 ,0
5451-95-6 ,1
5452-35-7 ,0
5452-37-9 ,0
5459-37-0 ,0
546-28-1 ,0
546-80-5 ,0
54739-18-3 ,1
547-63-7 ,0
547-64-8 ,0
54-85-3 ,1
54910-89-3 ,2
550-44-7 ,1
55179-31-2 ,3
55-18-5 ,0
551-92-8 ,1
55-21-0 ,1
55215-17-3 ,2
55215-18-4 ,2
552-16-9 ,1
55-22-1 ,1
55268-74-1 ,1
552-89-6 ,1
55312-69-1 ,2
553-17-3 ,2
553-26-4 ,2
5532-90-1 ,1
553-82-2 ,1
553-90-2 ,0
554-00-7 ,1
554-12-1 ,0
554-14-3 ,1
554-61-0 ,0
554-84-7 ,1
555-03-3 ,1
555-10-2 ,0
555-16-8 ,1
555-37-3 ,1
556-08-1 ,1
556-24-1 ,0
55-63-0 ,0
556-56-9 ,0
556-61-6 ,0
556-64-9 ,0
55669-88-0 ,1
556-82-1 ,0
557-00-6 ,0
55702-45-9 ,2
55702-46-0 ,2
55712-37-3 ,2
55720-44-0 ,2
557-31-3 ,0
557-35-7 ,0
557-40-4 ,0
557-48-2 ,0
55757-34-1 ,0
557-59-5 ,0
558-13-4 ,0
558-17-8 ,0
5582-82-1 ,0
558-43-0 ,0
560-21-4 ,0
56030-56-9 ,2
560-32-7 ,0
56-23-5 ,0
562-49-2 ,0
562-74-3 ,0
56-29-1 ,0
563-04-2 ,3
563-16-6 ,0
563-58-6 ,0
563-78-0 ,0
563-79-1 ,0
563-80-4 ,0
56-38-2 ,1
5638-76-6 ,1
564-02-3 ,0
56-49-5 ,4
56-53-1 ,2
56-54-2 ,2
56-55-3 ,4
56558-16-8 ,2
56558-17-9 ,2
56558-18-0 ,2
565-59-3 ,0
565-60-6 ,0
565-61-7 ,0
565-64-0 ,0
565-67-3 ,0
565-69-5 ,0
56-57-5 ,2
565-75-3 ,0
56578-36-0 ,1
565-80-0 ,0
5668-93-9 ,2
5669-09-0 ,0
5675-51-4 ,0
56-75-7 ,1
56775-88-3 ,2
56-81-5 ,0
5683-33-0 ,1
56922-71-5 ,0
56922-72-6 ,0
56922-80-6 ,0
56922-82-8 ,0
569-41-5 ,2
56961-20-7 ,1
56961-77-4 ,1
57-06-7 ,0
5707-44-8 ,2
57-10-3 ,0
57-11-4 ,0
57-13-6 ,0
57-15-8 ,0
571-58-4 ,2
571-60-8 ,2
571-61-9 ,2
57-24-9 ,1
57-27-2 ,1
573-56-8 ,1
573-98-8 ,2
574-00-5 ,2
57-41-0 ,2
57-43-2 ,0
57-44-3 ,0
57465-28-8 ,2
57-47-6 ,1
57-48-7 ,0
5749-72-4 ,0
57-50-1 ,0
57-53-4 ,0
575-37-1 ,2
575-38-2 ,2
575-41-7 ,2
575-43-9 ,2
575-44-0 ,2
57-55-6 ,0
57-57-8 ,0
576-24-9 ,1
576-26-1 ,1
57-63-6 ,1
57646-30-7 ,2
57-66-9 ,1
57-67-0 ,1
57-68-1 ,2
577-16-2 ,1
577-19-5 ,1
577-55-9 ,1
577-56-0 ,1
577-71-9 ,1
577-85-5 ,3
5779-94-2 ,1
57-83-0 ,0
