CAS,C,H,O,N,S,F,Cl,Br,I,Si
1121-37-5,7,10,1,0,0,0,0,0,0,0
112-14-1,10,20,2,0,0,0,0,0,0,0
112-15-2,8,16,4,0,0,0,0,0,0,0
1121-55-7,7,7,0,1,0,0,0,0,0,0
112-17-4,12,24,2,0,0,0,0,0,0,0
1121-76-2,5,4,1,1,0,0,1,0,0,0
112-18-5,14,31,0,1,0,0,0,0,0,0
1121-86-4,6,4,0,0,0,1,0,0,1,0
1121-92-2,7,15,0,1,0,0,0,0,0,0
112-20-9,9,21,0,1,0,0,0,0,0,0
1122-39-0,8,11,0,1,0,0,0,0,0,0
1122-54-9,7,7,1,1,0,0,0,0,0,0
1122-58-3,7,10,0,2,0,0,0,0,0,0
1122-60-7,6,11,2,1,0,0,0,0,0,0
1122-61-8,5,4,2,2,0,0,0,0,0,0
1122-62-9,7,7,1,1,0,0,0,0,0,0
1122-69-6,8,11,0,1,0,0,0,0,0,0
112-27-6,6,14,4,0,0,0,0,0,0,0
1122-81-2,8,11,0,1,0,0,0,0,0,0
1122-91-4,7,5,1,0,0,0,0,1,0,0
112-29-8,10,21,0,0,0,0,0,1,0,0
112-30-1,10,22,1,0,0,0,0,0,0,0
112-31-2,10,20,1,0,0,0,0,0,0,0
112-34-5,8,18,3,0,0,0,0,0,0,0
112-35-6,7,16,4,0,0,0,0,0,0,0
112-36-7,8,18,3,0,0,0,0,0,0,0
1123-73-5,9,12,1,0,0,0,0,0,0,0
112-37-8,11,22,2,0,0,0,0,0,0,0
112-39-0,17,34,2,0,0,0,0,0,0,0
1123-94-0,9,12,1,0,0,0,0,0,0,0
1123-96-2,,,,,,,,,,
112-40-3,12,26,0,0,0,0,0,0,0,0
1124-05-6,8,8,0,0,0,0,2,0,0,0
1124-11-4,8,12,0,2,0,0,0,0,0,0
112-41-4,12,24,0,0,0,0,0,0,0,0
112-42-5,11,24,1,0,0,0,0,0,0,0
1124-27-2,10,18,0,0,0,0,0,0,0,0
1124-33-0,5,4,3,2,0,0,0,0,0,0
1124-35-2,9,13,0,1,0,0,0,0,0,0
112-44-7,11,22,1,0,0,0,0,0,0,0
112-47-0,10,22,2,0,0,0,0,0,0,0
112-49-2,8,18,4,0,0,0,0,0,0,0
112-52-7,12,25,0,0,0,0,1,0,0,0
112-53-8,12,26,1,0,0,0,0,0,0,0
112-54-9,12,24,1,0,0,0,0,0,0,0
112-55-0,12,26,0,0,1,0,0,0,0,0
1125-78-6,10,12,1,0,0,0,0,0,0,0
1125-80-0,10,9,0,1,0,0,0,0,0,0
112-58-3,12,26,1,0,0,0,0,0,0,0
112-59-4,10,22,3,0,0,0,0,0,0,0
112-60-7,8,18,5,0,0,0,0,0,0,0
112-61-8,19,38,2,0,0,0,0,0,0,0
112-62-9,19,36,2,0,0,0,0,0,0,0
112-63-0,19,34,2,0,0,0,0,0,0,0
1126-46-1,8,7,2,0,0,0,1,0,0,0
112-66-3,14,28,2,0,0,0,0,0,0,0
1126-78-9,10,15,0,1,0,0,0,0,0,0
112-70-9,13,28,1,0,0,0,0,0,0,0
112-71-0,14,29,0,0,0,0,0,1,0,0
112-72-1,14,30,1,0,0,0,0,0,0,0
1127-76-0,12,12,0,0,0,0,0,0,0,0
112-80-1,18,34,2,0,0,0,0,0,0,0
112-85-6,22,44,2,0,0,0,0,0,0,0
112-88-9,18,36,0,0,0,0,0,0,0,0
112-92-5,18,38,1,0,0,0,0,0,0,0
1129-26-6,,,,,,,,,,
1129-35-7,9,7,2,1,0,0,0,0,0,0
112-95-8,20,42,0,0,0,0,0,0,0,0
113-00-8,1,5,0,3,0,0,0,0,0,0
1131-61-9,,,,,,,,,,
1132-18-9,,,,,,,,,,
113-45-1,14,19,2,1,0,0,0,0,0,0
1134-62-9,14,16,0,0,0,0,0,0,0,0
1135-24-6,10,10,4,0,0,0,0,0,0,0
1135-66-6,15,24,0,0,0,0,0,0,0,0
1136-85-2,14,12,0,0,1,0,0,0,0,0
1137-12-8,15,24,0,0,0,0,0,0,0,0
1137-41-3,13,11,1,1,0,0,0,0,0,0
1137-42-4,13,10,2,0,0,0,0,0,0,0
113852-37-2,,,,,,,,,,
1138-58-5,,,,,,,,,,
1145-46-6,,,,,,,,,,
114-86-3,10,15,0,5,0,0,0,0,0,0
1148-79-4,15,11,0,3,0,0,0,0,0,0
1150-62-5,18,13,0,1,0,0,0,0,0,0
115-09-3,1,1,0,0,0,0,1,0,0,0
115-18-4,5,10,1,0,0,0,0,0,0,0
115-20-8,2,3,1,0,0,0,3,0,0,0
115-24-2,7,16,4,0,2,0,0,0,0,0
115-37-7,19,21,3,1,0,0,0,0,0,0
1156-05-4,17,24,2,2,0,0,0,0,0,0
115713-41-2,,,,,,,,,,
115-77-5,5,12,4,0,0,0,0,0,0,0
115-86-6,18,15,4,0,0,0,0,0,0,0
115-95-7,12,20,2,0,0,0,0,0,0,0
116-02-9,9,18,1,0,0,0,0,0,0,0
116-09-6,3,6,2,0,0,0,0,0,0,0
116-45-0,,,,,,,,,,
116-53-0,5,10,2,0,0,0,0,0,0,0
117-18-0,6,1,2,1,0,0,4,0,0,0
117-39-5,15,10,7,0,0,0,0,0,0,0
117-81-7,24,38,4,0,0,0,0,0,0,0
117-82-8,14,18,6,0,0,0,0,0,0,0
117-83-9,20,30,6,0,0,0,0,0,0,0
117-84-0,24,38,4,0,0,0,0,0,0,0
117-89-5,21,24,0,3,1,3,0,0,0,0
117933-89-8,,,,,,,,,,
117-99-7,13,10,2,0,0,0,0,0,0,0
1185-33-7,6,14,1,0,0,0,0,0,0,0
118-55-8,13,10,3,0,0,0,0,0,0,0
1185-97-3,,,,,,,,,,
118-61-6,9,10,3,0,0,0,0,0,0,0
118-65-0,15,24,0,0,0,0,0,0,0,0
1186-53-4,9,20,0,0,0,0,0,0,0,0
118-69-4,7,6,0,0,0,0,2,0,0,0
1187-03-7,9,20,1,2,0,0,0,0,0,0
118-71-8,6,6,3,0,0,0,0,0,0,0
118-74-1,6,0,0,0,0,0,6,0,0,0
1187-58-2,4,9,1,1,0,0,0,0,0,0
118-79-6,6,3,1,0,0,0,0,3,0,0
118-90-1,8,8,2,0,0,0,0,0,0,0
118-91-2,7,5,2,0,0,0,1,0,0,0
118-92-3,7,7,2,1,0,0,0,0,0,0
118-93-4,8,8,2,0,0,0,0,0,0,0
118-95-6,,,,,,,,,,
118-96-7,7,5,6,3,0,0,0,0,0,0
1190-39-2,11,20,4,0,0,0,0,0,0,0
1192-18-3,7,14,0,0,0,0,0,0,0,0
1192-28-5,5,9,1,1,0,0,0,0,0,0
1192-37-6,7,12,0,0,0,0,0,0,0,0
1192-62-7,6,6,2,0,0,0,0,0,0,0
1192-89-8,6,1,0,0,0,0,0,1,0,0
119-33-5,7,7,3,1,0,0,0,0,0,0
119-34-6,,,,,,,,,,
1193-62-0,6,7,2,1,0,0,0,0,0,0
119-36-8,8,8,3,0,0,0,0,0,0,0
1193-82-4,7,8,1,0,1,0,0,0,0,0
1194-65-6,7,3,0,1,0,0,2,0,0,0
1195-14-8,9,8,0,0,1,0,0,0,0,0
1195-32-0,10,12,0,0,0,0,0,0,0,0
119-53-9,14,12,2,0,0,0,0,0,0,0
1195-79-5,10,16,1,0,0,0,0,0,0,0
119-60-8,13,22,1,0,0,0,0,0,0,0
119-61-9,13,10,1,0,0,0,0,0,0,0
119-64-2,10,12,0,0,0,0,0,0,0,0
119-65-3,9,7,0,1,0,0,0,0,0,0
1196-58-3,11,16,0,0,0,0,0,0,0,0
119-67-5,8,6,3,0,0,0,0,0,0,0
1197-01-9,10,14,1,0,0,0,0,0,0,0
1197-22-4,7,9,2,1,1,0,0,0,0,0
1198-14-7,,,,,,,,,,
1198-37-4,11,11,0,1,0,0,0,0,0,0
119-84-6,9,8,2,0,0,0,0,0,0,0
1198-55-6,6,2,2,0,0,0,4,0,0,0
119914-60-2,,,,,,,,,,
119-91-5,18,12,0,2,0,0,0,0,0,0
1199-99-1,,,,,,,,,,
120-12-7,14,10,0,0,0,0,0,0,0,0
120-14-9,9,10,3,0,0,0,0,0,0,0
120210-48-2,,,,,,,,,,
1202-25-1,10,13,2,1,0,0,0,0,0,0
120-25-2,10,12,3,0,0,0,0,0,0,0
120-29-6,8,15,1,1,0,0,0,0,0,0
120356-09-4,,,,,,,,,,
120-47-8,9,10,3,0,0,0,0,0,0,0
120-51-4,14,12,2,0,0,0,0,0,0,0
1205-17-0,11,12,3,0,0,0,0,0,0,0
120-57-0,8,6,3,0,0,0,0,0,0,0
120-61-6,10,10,4,0,0,0,0,0,0,0
120-66-1,9,11,1,1,0,0,0,0,0,0
1207-12-1,14,12,0,0,1,0,0,0,0,0
1207-15-4,14,12,0,0,1,0,0,0,0,0
120-72-9,8,7,0,1,0,0,0,0,0,0
120-73-0,5,4,0,4,0,0,0,0,0,0
120-80-9,6,6,2,0,0,0,0,0,0,0
120-82-1,6,3,0,0,0,0,3,0,0,0
120-83-2,6,4,1,0,0,0,2,0,0,0
120-92-3,5,8,1,0,0,0,0,0,0,0
120-94-5,5,11,0,1,0,0,0,0,0,0
1210-52-2,,,,,,,,,,
121-14-2,7,6,4,2,0,0,0,0,0,0
1213123-37-5,,,,,,,,,,
121-32-4,9,10,3,0,0,0,0,0,0,0
121-33-5,8,8,3,0,0,0,0,0,0,0
121-34-6,8,8,4,0,0,0,0,0,0,0
121-43-7,3,1,3,0,0,0,0,0,0,0
121-44-8,6,15,0,1,0,0,0,0,0,0
121-46-0,7,8,0,0,0,0,0,0,0,0
121-52-8,6,6,4,2,1,0,0,0,0,0
121552-61-2,14,15,0,3,0,0,0,0,0,0
121-57-3,6,7,3,1,1,0,0,0,0,0
121-61-9,,,,,,,,,,
121-69-7,8,11,0,1,0,0,0,0,0,0
121-72-2,9,13,0,1,0,0,0,0,0,0
121-73-3,6,4,2,1,0,0,1,0,0,0
121-79-9,10,12,5,0,0,0,0,0,0,0
121808-62-6,,,,,,,,,,
121-81-3,7,5,5,3,0,0,0,0,0,0
121-82-4,3,6,6,6,0,0,0,0,0,0
121-89-1,8,7,3,1,0,0,0,0,0,0
121-91-5,8,6,4,0,0,0,0,0,0,0
121-92-6,7,5,4,1,0,0,0,0,0,0
1219-38-1,,,,,,,,,,
121954-61-8,,,,,,,,,,
121-98-2,9,10,3,0,0,0,0,0,0,0
122-00-9,9,10,1,0,0,0,0,0,0,0
122-03-2,10,12,1,0,0,0,0,0,0,0
1220-83-3,,,,,,,,,,
122-11-2,,,,,,,,,,
122-14-5,9,12,5,1,1,0,0,0,0,0
1222-05-5,18,26,1,0,0,0,0,0,0,0
122-34-9,7,12,0,5,0,0,1,0,0,0
122-39-4,12,11,0,1,0,0,0,0,0,0
122-40-7,14,18,1,0,0,0,0,0,0,0
122-42-9,10,13,2,1,0,0,0,0,0,0
122-46-3,9,10,2,0,0,0,0,0,0,0
122-52-1,6,15,3,0,0,0,0,0,0,0
122-59-8,8,8,3,0,0,0,0,0,0,0
122-66-7,12,12,0,2,0,0,0,0,0,0
122-72-5,11,14,2,0,0,0,0,0,0,0
122760-85-4,,,,,,,,,,
122-78-1,8,8,1,0,0,0,0,0,0,0
122-79-2,8,8,2,0,0,0,0,0,0,0
122-88-3,8,7,3,0,0,0,1,0,0,0
122-94-1,10,14,2,0,0,0,0,0,0,0
122-97-4,9,12,1,0,0,0,0,0,0,0
122-99-6,8,10,2,0,0,0,0,0,0,0
123-01-3,18,30,0,0,0,0,0,0,0,0
123-02-4,19,32,0,0,0,0,0,0,0,0
123045-56-7,,,,,,,,,,
123045-57-8,,,,,,,,,,
123-05-7,8,16,1,0,0,0,0,0,0,0
123-07-9,8,10,1,0,0,0,0,0,0,0
123-08-0,7,6,2,0,0,0,0,0,0,0
123-11-5,8,8,2,0,0,0,0,0,0,0
123-15-9,6,12,1,0,0,0,0,0,0,0
123-19-3,7,14,1,0,0,0,0,0,0,0
123-20-6,6,10,2,0,0,0,0,0,0,0
123-25-1,8,14,4,0,0,0,0,0,0,0
123-29-5,11,22,2,0,0,0,0,0,0,0
123-30-8,6,7,1,1,0,0,0,0,0,0
123312-89-0,10,11,1,5,0,0,0,0,0,0
123-31-9,6,6,2,0,0,0,0,0,0,0
123-32-0,6,8,0,2,0,0,0,0,0,0
123-35-3,10,16,0,0,0,0,0,0,0,0
123-39-7,2,5,1,1,0,0,0,0,0,0
123-42-2,6,12,2,0,0,0,0,0,0,0
123441-03-2,,,,,,,,,,
123-51-3,5,12,1,0,0,0,0,0,0,0
123-54-6,5,8,2,0,0,0,0,0,0,0
123-56-8,4,5,2,1,0,0,0,0,0,0
123-63-7,6,12,3,0,0,0,0,0,0,0
123-66-0,8,16,2,0,0,0,0,0,0,0
123-68-2,9,16,2,0,0,0,0,0,0,0
123-73-9,4,6,1,0,0,0,0,0,0,0
123-75-1,4,9,0,1,0,0,0,0,0,0
123-76-2,5,8,3,0,0,0,0,0,0,0
123-80-8,8,14,4,0,0,0,0,0,0,0
123-86-4,6,12,2,0,0,0,0,0,0,0
123-91-1,4,8,2,0,0,0,0,0,0,0
123-92-2,7,14,2,0,0,0,0,0,0,0
123938-16-9,,,,,,,,,,
123-95-5,22,44,2,0,0,0,0,0,0,0
123-96-6,8,18,1,0,0,0,0,0,0,0
123-99-9,9,16,4,0,0,0,0,0,0,0
124-02-7,6,11,0,1,0,0,0,0,0,0
124-04-9,6,10,4,0,0,0,0,0,0,0
124-06-1,16,32,2,0,0,0,0,0,0,0
124-07-2,8,16,2,0,0,0,0,0,0,0
124-09-4,6,16,0,2,0,0,0,0,0,0
124-10-7,15,30,2,0,0,0,0,0,0,0
124-11-8,9,18,0,0,0,0,0,0,0,0
124-12-9,8,15,0,1,0,0,0,0,0,0
124-13-0,8,16,1,0,0,0,0,0,0,0
124-18-5,10,22,0,0,0,0,0,0,0,0
124-19-6,9,18,1,0,0,0,0,0,0,0
124-22-1,12,27,0,1,0,0,0,0,0,0
124-25-4,14,28,1,0,0,0,0,0,0,0
124-30-1,18,39,0,1,0,0,0,0,0,0
124-48-1,1,1,0,0,0,0,1,2,0,0
124-68-5,4,11,1,1,0,0,0,0,0,0
124-76-5,10,18,1,0,0,0,0,0,0,0
124832-26-4,,,,,,,,,,
125-28-0,18,23,3,1,0,0,0,0,0,0
125-29-1,18,21,3,1,0,0,0,0,0,0
125-40-6,10,16,3,2,0,0,0,0,0,0
125-58-6,,,,,,,,,,
125-71-3,18,25,1,1,0,0,0,0,0,0
126028-51-1,12,18,0,0,0,0,0,0,0,0
126-07-8,17,17,6,0,0,0,1,0,0,0
126-30-7,5,12,2,0,0,0,0,0,0,0
126-33-0,4,8,2,0,1,0,0,0,0,0
126-39-6,6,12,2,0,0,0,0,0,0,0
126-73-8,12,27,4,0,0,0,0,0,0,0
126-81-8,8,12,2,0,0,0,0,0,0,0
126-84-1,7,16,2,0,0,0,0,0,0,0
126-99-8,4,5,0,0,0,0,1,0,0,0
127-00-4,3,7,1,0,0,0,1,0,0,0
127-06-0,3,7,1,1,0,0,0,0,0,0
127-17-3,3,4,3,0,0,0,0,0,0,0
127-18-4,2,0,0,0,0,0,4,0,0,0
127-19-5,4,9,1,1,0,0,0,0,0,0
127-25-3,21,32,2,0,0,0,0,0,0,0
127-41-3,13,20,1,0,0,0,0,0,0,0
127-51-5,14,22,1,0,0,0,0,0,0,0
127-63-9,12,10,2,0,1,0,0,0,0,0
127-69-5,11,13,3,3,1,0,0,0,0,0
127-71-9,13,12,3,2,1,0,0,0,0,0
127-79-7,11,12,2,4,1,0,0,0,0,0
127-91-3,10,16,0,0,0,0,0,0,0,0
128-37-0,15,24,1,0,0,0,0,0,0,0
128-39-2,14,22,1,0,0,0,0,0,0,0
129-00-0,16,10,0,0,0,0,0,0,0,0
129234-06-6,,,,,,,,,,
129618-40-2,,,,,,,,,,
129-81-7,,,,,,,,,,
130-15-4,10,6,2,0,0,0,0,0,0,0
130-16-5,9,6,1,1,0,0,1,0,0,0
13019-20-0,8,16,1,0,0,0,0,0,0,0
13020-57-0,13,10,2,0,0,0,0,0,0,0
130-26-7,9,5,1,1,0,0,1,0,1,0
13029-08-8,12,8,0,0,0,0,2,0,0,0
13037-86-0,,,,,,,,,,
13057-72-2,,,,,,,,,,
13062-00-5,15,24,0,0,0,0,0,0,0,0
13067-27-1,8,12,0,2,0,0,0,0,0,0
130683-70-4,,,,,,,,,,
13073-29-5,7,7,3,1,0,0,0,0,0,0
130-95-0,20,24,2,2,0,0,0,0,0,0
13110-37-7,12,17,2,1,0,0,0,0,0,0
131-11-3,10,10,4,0,0,0,0,0,0,0
131-16-8,14,18,4,0,0,0,0,0,0,0
131-17-9,14,14,4,0,0,0,0,0,0,0
131-18-0,18,26,4,0,0,0,0,0,0,0
13151-34-3,11,24,0,0,0,0,0,0,0,0
13151-35-4,11,24,0,0,0,0,0,0,0,0
131-57-7,14,12,3,0,0,0,0,0,0,0
131-91-9,10,7,2,1,0,0,0,0,0,0
132034-90-3,,,,,,,,,,
132034-91-4,,,,,,,,,,
13205-48-6,8,8,2,0,1,0,0,0,0,0
13214-66-9,10,15,0,1,0,0,0,0,0,0
132-22-9,16,19,0,2,0,0,1,0,0,0
13238-84-1,8,12,0,2,0,0,0,0,0,0
132-53-6,10,7,2,1,0,0,0,0,0,0
132539-06-1,17,20,0,4,1,0,0,0,0,0
132-64-9,12,8,1,0,0,0,0,0,0,0
132-65-0,12,8,0,0,1,0,0,0,0,0
13269-52-8,6,12,0,0,0,0,0,0,0,0
132834-56-1,,,,,,,,,,
132-86-5,10,8,2,0,0,0,0,0,0,0
13286-90-3,6,14,0,0,1,0,0,0,0,0
13291-46-8,18,15,3,0,0,0,0,0,0,0
13311-84-7,11,11,3,2,0,3,0,0,0,0
133-16-4,13,19,2,2,0,0,1,0,0,0
13325-10-5,4,11,1,1,0,0,0,0,0,0
13330-65-9,8,10,3,0,0,0,0,0,0,0
133-37-9,4,6,6,0,0,0,0,0,0,0
13360-61-7,15,30,0,0,0,0,0,0,0,0
13360-63-9,6,15,0,1,0,0,0,0,0,0
13360-64-0,7,10,0,2,0,0,0,0,0,0
133-67-5,8,8,4,3,2,0,3,0,0,0
13389-42-9,8,16,0,0,0,0,0,0,0,0
13392-18-2,,,,,,,,,,
13392-26-2,,,,,,,,,,
134-20-3,8,9,2,1,0,0,0,0,0,0
134-32-7,10,9,0,1,0,0,0,0,0,0
13450-92-5,0,0,0,0,0,0,0,4,0,0
13450-95-8,0,0,0,0,0,0,0,0,4,0
134-62-3,12,17,1,1,0,0,0,0,0,0
13466-78-9,10,16,0,0,0,0,0,0,0,0
134678-17-4,,,,,,,,,,
13474-59-4,15,24,0,0,0,0,0,0,0,0
13475-82-6,12,26,0,0,0,0,0,0,0,0
13476-55-6,13,19,2,1,0,0,0,0,0,0
134-81-6,14,10,2,0,0,0,0,0,0,0
134-85-0,13,9,1,0,0,0,1,0,0,0
135-01-3,10,14,0,0,0,0,0,0,0,0
135-02-4,8,8,2,0,0,0,0,0,0,0
135-19-3,10,8,1,0,0,0,0,0,0,0
13523-86-9,14,20,2,2,0,0,0,0,0,0
135-48-8,22,14,0,0,0,0,0,0,0,0
13551-87-6,,,,,,,,,,
13551-89-8,,,,,,,,,,
135-67-1,12,9,1,1,0,0,0,0,0,0
135-70-6,24,18,0,0,0,0,0,0,0,0
135928-30-2,,,,,,,,,,
135-98-8,10,14,0,0,0,0,0,0,0,0
13629-73-7,,,,,,,,,,
13632-93-4,11,16,0,0,0,0,0,0,0,0
13632-94-5,11,16,0,0,0,0,0,0,0,0
13651-58-6,,,,,,,,,,
13655-52-2,15,23,2,1,0,0,0,0,0,0
136-60-7,11,14,2,0,0,0,0,0,0,0
13664-25-0,,,,,,,,,,
13669-70-0,17,19,1,1,0,0,0,0,0,0
13673-92-2,6,4,2,0,0,0,2,0,0,0
137-05-3,5,5,2,1,0,0,0,0,0,0
13710-19-5,14,12,2,1,0,0,1,0,0,0
137-17-7,9,13,0,1,0,0,0,0,0,0
13730-55-7,10,12,2,0,0,0,0,0,0,0
137-32-6,5,12,1,0,0,0,0,0,0,0
13732-80-4,11,16,0,0,0,0,0,0,0,0
137-43-9,5,9,0,0,0,0,0,1,0,0
13744-15-5,15,24,0,0,0,0,0,0,0,0
137-58-6,14,22,1,2,0,0,0,0,0,0
13764-18-6,14,16,0,0,0,0,0,0,0,0
138-22-7,7,14,3,0,0,0,0,0,0,0
138-38-5,,,,,,,,,,
138-41-0,7,7,4,1,1,0,0,0,0,0
138-52-3,13,18,7,0,0,0,0,0,0,0
13877-91-3,10,16,0,0,0,0,0,0,0,0
138-86-3,10,16,0,0,0,0,0,0,0,0
138-89-6,8,10,1,2,0,0,0,0,0,0
139157-75-8,,,,,,,,,,
139157-76-9,,,,,,,,,,
13925-00-3,6,8,0,2,0,0,0,0,0,0
13925-06-9,9,14,0,2,0,0,0,0,0,0
139-40-2,9,16,0,5,0,0,1,0,0,0
139-45-7,12,20,6,0,0,0,0,0,0,0
13952-84-6,4,11,0,1,0,0,0,0,0,0
139-66-2,12,10,0,0,1,0,0,0,0,0
13979-81-2,7,6,1,0,0,0,0,2,0,0
139-85-5,7,6,3,0,0,0,0,0,0,0
14010-23-2,19,38,2,0,0,0,0,0,0,0
140-10-3,9,8,2,0,0,0,0,0,0,0
140-11-4,9,10,2,0,0,0,0,0,0,0
14028-44-5,17,16,1,3,0,0,1,0,0,0
140-29-4,8,7,0,1,0,0,0,0,0,0
14036-56-7,,,,,,,,,,
140-39-6,9,10,2,0,0,0,0,0,0,0
140-57-8,15,23,4,0,1,0,1,0,0,0
140-65-8,17,27,3,1,0,0,0,0,0,0
140-67-0,10,12,1,0,0,0,0,0,0,0
14073-97-3,,,,,,,,,,
14080-23-0,,,,,,,,,,
140-88-5,5,8,2,0,0,0,0,0,0,0
14090-87-0,8,14,2,0,0,0,0,0,0,0
14090-88-1,9,16,2,0,0,0,0,0,0,0
14098-24-9,,,,,,,,,,
14098-44-3,14,20,5,0,0,0,0,0,0,0
141-03-7,12,22,4,0,0,0,0,0,0,0
141-06-0,8,16,2,0,0,0,0,0,0,0
141-12-8,12,20,2,0,0,0,0,0,0,0
1412-28-3,,,,,,,,,,
141-28-6,10,18,4,0,0,0,0,0,0,0
141-32-2,7,12,2,0,0,0,0,0,0,0
141-43-5,2,7,1,1,0,0,0,0,0,0
141-73-1,7,16,2,0,0,0,0,0,0,0
14174-08-4,12,16,4,0,0,0,0,0,0,0
141-76-4,3,5,2,0,0,0,0,0,1,0
141-79-7,6,10,1,0,0,0,0,0,0,0
141-82-2,3,4,4,0,0,0,0,0,0,0
14187-32-7,20,24,6,0,0,0,0,0,0,0
141-93-5,10,14,0,0,0,0,0,0,0,0
1419-49-4,,,,,,,,,,
141-97-9,6,10,3,0,0,0,0,0,0,0
14199-15-6,9,10,3,0,0,0,0,0,0,0
1420-07-1,10,12,5,2,0,0,0,0,0,0
142-09-6,10,18,2,0,0,0,0,0,0,0
142-28-9,3,6,0,0,0,0,2,0,0,0
14248-50-1,5,4,1,1,0,0,0,1,0,0
142494-12-0,,,,,,,,,,
142-62-1,6,12,2,0,0,0,0,0,0,0
14267-92-6,5,7,0,0,0,0,1,0,0,0
142-68-7,5,10,1,0,0,0,0,0,0,0
142-82-5,7,16,0,0,0,0,0,0,0,0
142-83-6,6,8,1,0,0,0,0,0,0,0
142-84-7,6,15,0,1,0,0,0,0,0,0
142-90-5,16,30,2,0,0,0,0,0,0,0
14290-92-7,6,14,0,0,1,0,0,0,0,0
142-92-7,8,16,2,0,0,0,0,0,0,0
142-96-1,8,18,1,0,0,0,0,0,0,0
14303-70-6,,,,,,,,,,
143-06-6,,,,,,,,,,
143-07-7,12,24,2,0,0,0,0,0,0,0
143-08-8,9,20,1,0,0,0,0,0,0,0
14309-40-1,14,21,2,1,0,0,0,0,0,0
14309-41-2,15,23,2,1,0,0,0,0,0,0
1430-97-3,14,12,0,0,0,0,0,0,0,0
143-10-2,10,22,0,0,1,0,0,0,0,0
143-13-5,11,22,2,0,0,0,0,0,0,0
14315-11-8,9,8,0,0,1,0,0,0,0,0
14315-14-1,9,8,0,0,1,0,0,0,0,0
14315-15-2,,,,,,,,,,
143-15-7,12,25,0,0,0,0,0,1,0,0
14321-27-8,9,13,0,1,0,0,0,0,0,0
143-22-6,10,22,4,0,0,0,0,0,0,0
143-24-8,10,22,5,0,0,0,0,0,0,0
143-27-1,16,35,0,1,0,0,0,0,0,0
143-36-2,1,1,0,0,0,0,0,0,1,0
143390-89-0,18,19,4,1,0,0,0,0,0,0
1435-68-3,13,11,3,3,0,0,0,0,0,0
1438-94-4,9,9,1,1,0,0,0,0,0,0
144034-80-0,,,,,,,,,,
144-11-6,20,31,1,1,0,0,0,0,0,0
14417-01-7,8,11,2,1,1,0,0,0,0,0
144-48-9,2,4,1,1,0,0,0,0,1,0
144-49-0,2,3,2,0,0,1,0,0,0,0
144-62-7,2,2,4,0,0,0,0,0,0,0
14473-89-3,,,,,,,,,,
14474-56-7,,,,,,,,,,
144-80-9,8,10,3,2,1,0,0,0,0,0
144-82-1,,,,,,,,,,
144-83-2,11,11,2,3,1,0,0,0,0,0
14489-88-4,,,,,,,,,,
14508-49-7,4,3,0,2,0,0,1,0,0,0
14529-53-4,7,9,1,1,0,0,0,0,0,0
1453-25-4,8,14,0,0,0,0,0,0,0,0
1453-58-3,4,6,0,2,0,0,0,0,0,0
1454-84-8,19,40,1,0,0,0,0,0,0,0
1454-85-9,17,36,1,0,0,0,0,0,0,0
1455-18-1,9,8,0,0,1,0,0,0,0,0
1455-21-6,9,20,0,0,1,0,0,0,0,0
14556-46-8,,,,,,,,,,
1459-93-4,10,10,4,0,0,0,0,0,0,0
1460-57-7,6,12,2,0,0,0,0,0,0,0
14611-51-9,13,17,0,1,0,0,0,0,0,0
1461-25-2,16,36,0,0,1,0,0,0,0,0
1462-03-9,6,12,1,0,0,0,0,0,0,0
1462-84-6,8,11,0,1,0,0,0,0,0,0
1463-01-0,9,13,0,1,0,0,0,0,0,0
1463-17-8,11,11,0,1,0,0,0,0,0,0
146-54-3,18,19,0,2,1,3,0,0,0,0
14657-64-8,,,,,,,,,,
14667-55-1,7,10,0,2,0,0,0,0,0,0
1466-76-8,9,10,4,0,0,0,0,0,0,0
14676-29-0,10,22,0,0,0,0,0,0,0,0
14686-13-6,7,14,0,0,0,0,0,0,0,0
14686-14-7,7,14,0,0,0,0,0,0,0,0
14689-51-1,,,,,,,,,,
1468-95-7,15,12,1,0,0,0,0,0,0,0
1470-94-6,9,10,1,0,0,0,0,0,0,0
14719-83-6,,,,,,,,,,
1476-11-5,4,6,0,0,0,0,2,0,0,0
14763-60-1,7,8,3,0,1,0,0,0,0,0
14763-61-2,7,8,3,0,1,0,0,0,0,0
1477-50-5,9,7,2,1,0,0,0,0,0,0
147-81-9,5,10,5,0,0,0,0,0,0,0
14804-32-1,9,12,1,0,0,0,0,0,0,0
1482-13-9,9,18,1,0,0,0,0,0,0,0
148-24-3,9,7,1,1,0,0,0,0,0,0
148356-24-5,,,,,,,,,,
1483-60-9,12,18,0,0,0,0,0,0,0,0
1483-60-9,12,18,0,0,0,0,0,0,0,0
14838-15-4,9,13,1,1,0,0,0,0,0,0
1484-12-4,13,11,0,1,0,0,0,0,0,0
1484-84-0,7,15,1,1,0,0,0,0,0,0
14850-23-8,8,16,0,0,0,0,0,0,0,0
148-53-8,8,8,3,0,0,0,0,0,0,0
148-79-8,10,7,0,3,1,0,0,0,0,0
14885-29-1,,,,,,,,,,
1489-53-8,6,3,0,0,0,3,0,0,0,0
14906-59-3,6,4,1,2,0,0,0,0,0,0
14912-44-8,15,24,0,0,0,0,0,0,0,0
1491-59-4,16,24,1,2,0,0,0,0,0,0
14920-81-1,10,12,2,0,0,0,0,0,0,0
