CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,C,H,O,N,S,F,Cl,Br,I,Si
1006-32-2,2.3.4.5-Tetrachlorotoluene,,,,,1.23,0.94,0,6.744,,,,,,,,,,,
100-64-1,Cyclohexanone oxime,,,,,0.58,0.9,0.33,4.32,,6,11,1,1,0,0,0,0,0,0
1006-59-3,2.6-Diethylphenol,,,,,0.86,0.85,0.39,5.932,,10,14,1,0,0,0,0,0,0,0
100-66-3,Methyl phenyl ether,,,,,0.71,0.75,0,3.89,,7,8,1,0,0,0,0,0,0,0
100-68-5,Phenylmethylsulphide,,,,,1.06,0.68,0,4.663,,7,8,0,0,1,0,0,0,0,0
100-69-6,2-Vinylpyridine,,,,,0.85,0.85,0,4.18,,7,7,0,1,0,0,0,0,0,0
100-70-9,2-Cyanopyridine,,,,,0.73,1.35,0,4.26,,6,4,0,2,0,0,0,0,0,0
100-71-0,2-Ethylpyridine,,,,,0.61,0.71,0,3.844,,7,9,0,1,0,0,0,0,0,0
1007-32-5,1-Phenylbutan-2-one,,,,,0.75,1.14,0,5.138,,10,12,1,0,0,0,0,0,0,0
100-74-3,N-Ethylmorpholine,,,,,0.42,0.68,0,3.76,,6,13,1,1,0,0,0,0,0,0
1007-49-4,2-Pyridinylmethyl acetate,,,,,0.69,1.3,0,5.26,,,,,,,,,,,
100-75-4,N-Nitrosopiperidine,,,,,0.59,1.33,0,4.712,,5,10,1,2,0,0,0,0,0,0
100-76-5,Quinuclidine,,,,,0.69,1.13,0,4.596,,7,13,0,1,0,0,0,0,0,0
100-80-1,m-methylstyrene,,,,,0.87,0.65,0,4.375,,9,10,0,0,0,0,0,0,0,0
100-83-4,3-Hydroxybenzaldehyde,,,,,0.99,1.38,0.73,5.06,,7,6,2,0,0,0,0,0,0,0
100-84-5,3-Methylanisole,,,,,0.71,0.78,0,4.393,,8,10,1,0,0,0,0,0,0,0
1008-88-4,3-Phenylpyridine,,,,,1.38,1.14,0,6.42,,11,9,0,1,0,0,0,0,0,0
1008-89-5,2-Phenylpyridine,,,,,1.42,1.15,0,6.37,,11,9,0,1,0,0,0,0,0,0
1009-11-6,4-Hydroxybutyrophenone,,,,,1,1.32,0.77,6.65,,10,12,2,0,0,0,0,0,0,0
1009-14-9,Valerophenone,,,,,0.8,0.95,0,5.9,,11,14,1,0,0,0,0,0,0,0
101-41-7,Methyl phenylacetate,,,,,0.7,1.13,0,4.879,,9,10,2,0,0,0,0,0,0,0
101-42-8,fenuron,,,,,1.05,1.59,0.41,6.812,,9,12,1,2,0,0,0,0,0,0
1014-69-3,Desmetryn,,,,,1.5,1.29,0.28,8.255,,8,15,0,5,1,0,0,0,0,0
1014-70-6,Simetryn,,,,,1.5,1.29,0.23,8.231,,8,15,0,5,1,0,0,0,0,0
101-48-4,1.1-Dimethoxy-2-phenylethane,,,,,0.61,0.96,0,5.42,,10,14,2,0,0,0,0,0,0,0
10152-76-8,Allylmethylsulfide,,,,,0.5,0.5,0,2.932,,4,8,0,0,1,0,0,0,0,0
101-53-1,4-Benzylphenol,,,,,1.44,1.38,0.55,7.79,,13,12,1,0,0,0,0,0,0,0
101-55-3,4-Bromodiphenylether,,,,,1.5,1.25,0,7.67,,12,9,1,0,0,0,0,1,0,0
1015-89-0,Phenanthridinone,,,,,1.79,1.92,0.35,8.46,,13,9,1,1,0,0,0,0,0,0
10161-33-8,Trenbolone,,,,,1.63,2.39,0.32,11.06,,18,22,2,0,0,0,0,0,0,0
101-77-9,Di(4-aminophenyl)methane,,,,,1.76,3.1,0.47,10.22,,13,14,0,2,0,0,0,0,0,0
101-81-5,Diphenylmethane,,,,,1.22,1.04,0,6.313,,13,12,0,0,0,0,0,0,0,0
101-82-6,2-Benzylpyridine,,,,,1.22,0.81,0,7.25,,12,11,0,1,0,0,0,0,0,0
101-83-7,Dicyclohexylamine,,,,,0.58,0.34,0.08,6.695,,12,23,0,1,0,0,0,0,0,0
101-84-8,Diphenyl ether,,,,,1.22,1.08,0,6.287,,12,10,1,0,0,0,0,0,0,0
101870-22-8,2-Propoxypyridine,,,,,0.64,0.68,0,4.63,,,,,,,,,,,
101-97-3,Ethyl phenylacetate,,,,,0.66,1.01,0,5.522,,10,12,2,0,0,0,0,0,0,0
101-99-5,N-Phenylurethane,,,,,0.94,1.34,0.36,6.26,,9,11,2,1,0,0,0,0,0,0
102-04-5,1.3-Diphenylpropanone,,,,,1.32,1.05,0,7.939,,15,14,1,0,0,0,0,0,0,0
102-07-8,1.3-Diphenylurea,,,,,1.72,1.8,0.85,9.194,,13,12,1,2,0,0,0,0,0,0
10208-80-7,?-Muurolene,,,,,0.8,0.25,0,7.138,,15,24,0,0,0,0,0,0,0,0
102-08-9,1.3-Diphenylthiourea,,,,,2.1,1.7,0.33,9.71,,13,12,0,2,1,0,0,0,0,0
102-09-0,Diphenyl carbonate,,,,,1.28,1.53,0,7.843,,13,10,3,0,0,0,0,0,0,0
102-25-0,1.3.5-Triethylbenzene,,,,,0.67,0.5,0,5.51,,12,18,0,0,0,0,0,0,0,0
102-27-2,3-Methyl-N-ethylaniline,,,,,0.94,0.9,0.17,5.322,,9,13,0,1,0,0,0,0,0,0
10229-10-4,Pent-3-yn-1-ol,,,,,0.44,0.78,0.37,3.277,,5,8,1,0,0,0,0,0,0,0
1024-57-3,Heptachlor epoxide,,,,,2.22,1.11,0,9.01,,10,5,1,0,0,0,7,0,0,0
102516-93-8,2-Pentafluoroethyl-5.6-dichlorobenzimidazole,,,,,1.2,1.18,0.3,7.203,,,,,,,,,,,
102-54-5,Ferrocene,,,,,1.35,0.85,0,5.622,,10,10,0,0,0,1,0,0,0,0
10262-69-8,Maprotiline,,,,,1.9,1.43,0.08,11,,20,23,0,1,0,0,0,0,0,0
10264-55-8,3-Ethylcyclopentanone,,,,,0.34,0.85,0,3.816,,7,12,1,0,0,0,0,0,0,0
102-69-2,Tri-n-propylamine,,,,,0.07,0.14,0,4.524,,9,21,0,1,0,0,0,0,0,0
102-71-6,Triethanolamine,,,,,0.57,0.98,1.12,5.614,,6,15,3,1,0,0,0,0,0,0
102-76-1,glyceryl triacetate,,,,,0.14,1.32,0,5.964,,9,14,6,0,0,0,0,0,0,0
102-81-8,N.N-Dibutylethanolamine,,,,,0.4,0.59,0.24,6.114,,10,23,1,1,0,0,0,0,0,0
102-82-9,Tributylamine,,,,,0.05,0.15,0,5.983,,12,27,0,1,0,0,0,0,0,0
102-86-3,Trihexylamine,,,,,0.01,0.15,0,8.89,,18,39,0,1,0,0,0,0,0,0
102-96-5,b-Nitrostyrene,,,,,1.22,1.3,0.01,6.6,,8,7,2,1,0,0,0,0,0,0
103-09-3,2-Ethyl-1-hexyl acetate,,,,,0.03,0.57,0,5.025,,10,20,2,0,0,0,0,0,0,0
1031-07-8,Endosulfan sulfate,,,,,2.16,1.57,0,10.78,,9,6,4,0,1,0,6,0,0,0
103-11-7,2-Ethyl-1-hexyl acrylate,,,,,0.14,0.59,0,5.445,,11,20,2,0,0,0,0,0,0,0
103-16-2,4-Benzoxyphenol,,,,,1.41,1.41,0.57,7.99,,13,12,2,0,0,0,0,0,0,0
103-25-3,Methyl-3-phenylpropionate,,,,,0.69,1.21,0,5.35,,10,12,2,0,0,0,0,0,0,0
103-26-4,Methyl cinnamate,,,,,0.94,0.97,0,5.89,,10,10,2,0,0,0,0,0,0,0
103-29-7,1.2-Diphenylethane,,,,,1.22,0.93,0,7.196,,14,14,0,0,0,0,0,0,0,0
103-30-0,trans-Stilbene,,,,,1.45,1.04,0,7.525,,14,12,0,0,0,0,0,0,0,0
103323-29-1,3-Hydroxybutyrophenone,,,,,1,1.32,0.77,6.65,,,,,,,,,,,
103-33-3,1.2-Diphenyldiazene,,,,,1.33,1.21,0,7.13,,12,10,0,2,0,0,0,0,0,0
103-36-6,Ethyl cinnamate,,,,,0.9,1.05,0,6.322,,11,12,2,0,0,0,0,0,0,0
103-41-3,Benzyl cinnamate,,,,,1.7,1.63,0,9.53,,16,14,2,0,0,0,0,0,0,0
103426-95-5,1.2.3.5.6.8-Hexachloronaphthalene,,,,,2.05,1.42,0,10.181,,,,,,,,,,,
103-44-6,2-Ethyl-1-hexyl vinyl ether,,,,,0.13,0.32,0,4.682,,10,20,1,0,0,0,0,0,0,0
103-45-7,2-Phenylethyl acetate,,,,,0.79,1.1,0,5.364,,10,12,2,0,0,0,0,0,0,0
103-50-4,Dibenzyl ether,,,,,1.21,1.15,0,7.334,,14,14,1,0,0,0,0,0,0,0
10352-87-1,Propyl crotonate,,,,,0.2,0.65,0,4,,7,12,2,0,0,0,0,0,0,0
103-54-8,Cinnamyl acetate,,,,,0.99,1.22,0,6.382,,11,12,2,0,0,0,0,0,0,0
103577-45-3,Lansoprazole,,,,,2.3,2.45,0.51,13.02,,,,,,,,,,,
10359-61-2,Butyl-sec-butylsulfide,,,,,0.32,0.34,0,4.68,,8,18,0,0,1,0,0,0,0,0
10359-64-5,Methyl-s-butylsulfide,,,,,0.35,0.36,0,3.43,,5,12,0,0,1,0,0,0,0,0
10359-66-7,Propyl-s-butylsulfide,,,,,0.32,0.34,0,4.29,,,,,,,,,,,
103628-46-2,Sumatriptan,,,,,1.87,2.28,0.85,11.78,,14,21,2,3,1,0,0,0,0,0
103-63-9,2-Bromo-1-phenylethane,,,,,0.97,0.94,0,5.17,,8,9,0,0,0,0,0,1,0,0
103-65-1,n-Propylbenzene,,,,,0.6,0.5,0,4.23,,9,12,0,0,0,0,0,0,0,0
