CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,C,H,O,N,S,F,Cl,Br,I,Si
132539-06-1,Olanzapine,,,,,2.45,1.4,0.23,11.92,,17,20,0,4,1,0,0,0,0,0
132-64-9,Dibenzofuran,,,,,1.78,0.86,0,6.716,,12,8,1,0,0,0,0,0,0,0
132-65-0,Dibenzothiophene,,,,,1.96,1.2,0,7.588,,12,8,0,0,1,0,0,0,0,0
13269-52-8,trans-Hex-3-ene,,,,,0.13,0.08,0,2.659,,6,12,0,0,0,0,0,0,0,0
132834-56-1,Org12962,,,,,1.1,1.15,0.26,7.43,,,,,,,,,,,
132-86-5,1.3-Dihydroxynaphthalene,,,,,1.71,1.65,1.09,7.376,,10,8,2,0,0,0,0,0,0,0
13286-90-3,Methylisopentylsulfide,,,,,0.34,0.38,0,3.95,,6,14,0,0,1,0,0,0,0,0
13291-46-8,(2.5-dihydroxyphenyl)diphenylphosphine oxide,,,,,2.33,2.18,0.36,11.64,,18,15,3,0,0,0,0,0,0,0
13311-84-7,Flutamide,,,,,0.83,1.53,0.53,7.98,,11,11,3,2,0,3,0,0,0,0
133-16-4,Chloroprocaine,,,,,1.25,1.38,0.25,9.41,,13,19,2,2,0,0,1,0,0,0
13325-10-5,4-Aminobutan-1-ol,,,,,0.46,0.88,0.41,3.562,,4,11,1,1,0,0,0,0,0,0
13330-65-9,2.4-Dimethoxyphenol,,,,,0.86,1.44,0.2,5.72,,8,10,3,0,0,0,0,0,0,0
133-37-9,Tartaric acid,,,,,0.82,1.62,1.19,5.268,,4,6,6,0,0,0,0,0,0,0
13360-61-7,Pentadec-1-ene,,,,,0.08,0.08,0,7.006,,15,30,0,0,0,0,0,0,0,0
13360-63-9,Ethylbutylamine,,,,,0.12,0.32,0.08,3.269,,6,15,0,1,0,0,0,0,0,0
13360-64-0,2-Methyl-5-ethylpyrazine,,,,,0.66,0.79,0,4.274,,7,10,0,2,0,0,0,0,0,0
133-67-5,Trichloromethiazide,,,,,2.6,2.95,1.1,12.82,,8,8,4,3,2,0,3,0,0,0
13389-42-9,trans-Oct-2-ene,,,,,0.12,0.07,0,3.668,,8,16,0,0,0,0,0,0,0,0
13392-18-2,Fenoterol,,,,,2.09,2.2,1.88,12.78,,,,,,,,,,,
13392-26-2,Epicatechin,,,,,2.92,2.73,2.3,13.19,,,,,,,,,,,
134-20-3,Methyl 2-aminobenzoate,,,,,1.12,0.91,0.01,5.494,,8,9,2,1,0,0,0,0,0,0
134-32-7,1-Naphthylamine,,,,,1.67,1.27,0.19,6.49,,10,9,0,1,0,0,0,0,0,0
13450-92-5,Germanium tetrabromide,,,,,1.31,-0.05,0.85,4.902,,0,0,0,0,0,0,0,4,0,0
13450-95-8,Germanium tetraiodide,,,,,2.23,0.57,0.32,7.707,,0,0,0,0,0,0,0,0,4,0
134-62-3,N.N-Diethyl-3-methylbenzamide,,,,,0.96,1.4,0,7.48,,12,17,1,1,0,0,0,0,0,0
13466-78-9,3-carene,,,,,0.49,0.22,0,4.679,,10,16,0,0,0,0,0,0,0,0
134678-17-4,Lamivudine,,,,,2.25,1.6,0.44,8.93,,,,,,,,,,,
13474-59-4,E-?-Bergamotene,,,,,0.7,0.28,0,6.711,,15,24,0,0,0,0,0,0,0,0
13475-82-6,2.2.4.6.6-Pentamethylheptane,,,,,0,0,0,4.586,,12,26,0,0,0,0,0,0,0,0
13476-55-6,Hexyl 4-aminobenzoate,,,,,1,1.34,0.24,8.309,,13,19,2,1,0,0,0,0,0,0
134-81-6,Benzil,,,,,1.45,1.59,0,7.611,,14,10,2,0,0,0,0,0,0,0
134-85-0,4-Chlorobenzophenone,,,,,1.51,1.42,0,7.99,,13,9,1,0,0,0,1,0,0,0
135-01-3,1.2-Diethylbenzene,,,,,0.69,0.54,0,4.732,,10,14,0,0,0,0,0,0,0,0
135-02-4,2-Methoxybenzaldehyde,,,,,0.96,1.12,0,5.3,,8,8,2,0,0,0,0,0,0,0
135-19-3,2-Naphthol,,,,,1.52,1.08,0.61,6.2,,10,8,1,0,0,0,0,0,0,0
13523-86-9,Pindolol,,,,,1.7,1.59,0.3,10.02,,14,20,2,2,0,0,0,0,0,0
135-48-8,Pentacene,,,,,4,2.71,0,12.531,,22,14,0,0,0,0,0,0,0,0
13551-87-6,Misonidazole,,,,,1.02,1.75,0.31,6.97,,,,,,,,,,,
13551-89-8,fluoromisonidazole,,,,,0.92,1.85,0.37,6.34,,,,,,,,,,,
135-67-1,Phenoxazine,,,,,1.57,1.46,0.2,8.239,,12,9,1,1,0,0,0,0,0,0
135-70-6,p-Quaterphenyl,,,,,2.65,1.85,0,13.22,,24,18,0,0,0,0,0,0,0,0
135928-30-2,Beloxepin,,,,,2.08,1.5,0.25,11.33,,,,,,,,,,,
135-98-8,sec-Butylbenzene,,,,,0.6,0.48,0,4.506,,10,14,0,0,0,0,0,0,0,0
13629-73-7,2-Propylanisole,,,,,0.74,0.8,0,5.2,,,,,,,,,,,
13632-93-4,1.2-Diethyl-3-methylbenzene,,,,,0.76,0.59,0,5.311,,11,16,0,0,0,0,0,0,0,0
13632-94-5,1.4-Diethyl-2-methylbenzene,,,,,0.71,0.54,0,5.48,,11,16,0,0,0,0,0,0,0,0
13651-58-6,3.4-Dimethylbenzyl acetate,,,,,0.81,0.91,0,6.077,,,,,,,,,,,
13655-52-2,Alprenolol,,,,,1.25,1.09,0.15,9.35,,15,23,2,1,0,0,0,0,0,0
136-60-7,Butyl benzoate,,,,,0.67,0.8,0,6.21,,11,14,2,0,0,0,0,0,0,0
13664-25-0,N-p-Tolyl-2-methylbenzohydroxamic acid,,,,,1.71,1.29,0.42,9.47,,,,,,,,,,,
13669-70-0,Nefopam,,,,,1.6,1.78,0,10.069,,17,19,1,1,0,0,0,0,0,0
13673-92-2,3.5-Dichlorocatechol,,,,,1.19,1.36,0.92,6.027,,6,4,2,0,0,0,2,0,0,0
137-05-3,Methyl 2-cyano-2-propenoic acid,,,,,0.35,0.88,0,3.35,,5,5,2,1,0,0,0,0,0,0
13710-19-5,Tolfenamic acid,,,,,1.84,1.43,0.72,9.765,,14,12,2,1,0,0,1,0,0,0
137-17-7,2.4.5-Trimethylaniline,,,,,0.97,0.92,0.17,5.593,,9,13,0,1,0,0,0,0,0,0
13730-55-7,Methyl 2.5-dimethylbenzoate,,,,,0.8,0.85,0,5.588,,10,12,2,0,0,0,0,0,0,0
137-32-6,2-Methylbutan-1-ol,,,,,0.22,0.39,0.37,3.011,,5,12,1,0,0,0,0,0,0,0
13732-80-4,1.2-Diethyl-4-methylbenzene,,,,,0.7,0.55,0,5.234,,11,16,0,0,0,0,0,0,0,0
137-43-9,Bromocyclopentane,,,,,0.57,0.48,0,3.841,,5,9,0,0,0,0,0,1,0,0
13744-15-5,?-Cubebene,,,,,0.62,0.19,0,6.624,,15,24,0,0,0,0,0,0,0,0
137-58-6,Lidocaine,,,,,1.11,1.51,0.07,9.127,,14,22,1,2,0,0,0,0,0,0
13764-18-6,1.4.6.7-Tetramethylnaphthalene,,,,,1.54,1.27,0,7.925,,14,16,0,0,0,0,0,0,0,0
138-22-7,Butyl lactate,,,,,0.17,0.62,0.2,4.21,,7,14,3,0,0,0,0,0,0,0
138-38-5,4-Ethylbenzenesulfonamide,,,,,1.13,1.5,0.55,6.968,,,,,,,,,,,
138-41-0,4-Sulfamoylbenzoic acid,,,,,1.35,1.67,1,7.342,,7,7,4,1,1,0,0,0,0,0
138-52-3,Salicin,,,,,2,2.22,1.05,11.11,,13,18,7,0,0,0,0,0,0,0
13877-91-3,Ocimene-Y,,,,,0.58,0.29,0,4.858,,10,16,0,0,0,0,0,0,0,0
138-86-3,Limonene,,,,,0.5,0.31,0,4.688,,10,16,0,0,0,0,0,0,0,0
138-89-6,4-Nitroso-N.N-dimethylaniline,,,,,0.98,1.54,0,6.039,,8,10,1,2,0,0,0,0,0,0
139157-75-8,Ethoxypropoxymethane,,,,,0,0.44,0,3.28,,,,,,,,,,,
139157-76-9,Propoxy-sec.-butyloxymethane,,,,,0,0.4,0,4.037,,,,,,,,,,,
13925-00-3,2-Ethylpyrazine,,,,,0.62,0.84,0,3.887,,6,8,0,2,0,0,0,0,0,0
13925-06-9,2-Methyl-3-isobutylpyrazine,,,,,0.65,0.82,0,5.435,,9,14,0,2,0,0,0,0,0,0
139-40-2,Propazine,,,,,1.19,1.26,0.13,8.263,,9,16,0,5,0,0,1,0,0,0
139-45-7,Glycerol tripropanoate,,,,,0.06,1.25,0,7.382,,12,20,6,0,0,0,0,0,0,0
13952-84-6,sec-Butylamine,,,,,0.17,0.32,0.16,2.41,,4,11,0,1,0,0,0,0,0,0
139-66-2,Diphenyl sulfide,,,,,1.63,1.2,0,7.52,,12,10,0,0,1,0,0,0,0,0
13979-81-2,4-Methyl-3.5-dibromophenol,,,,,1.3,0.97,0.79,6.436,,7,6,1,0,0,0,0,2,0,0
139-85-5,3.4-Dihydroxybenzaldehyde,,,,,1.18,1.58,0.7,5.826,,7,6,3,0,0,0,0,0,0,0
14010-23-2,Ethyl heptadecanoate,,,,,0,0.58,0,9.554,,19,38,2,0,0,0,0,0,0,0
140-10-3,trans-Cinnamic acid,,,,,1.14,0.97,0.58,5.797,,9,8,2,0,0,0,0,0,0,0
140-11-4,Benzyl acetate,,,,,0.8,0.85,0,5.03,,9,10,2,0,0,0,0,0,0,0
14028-44-5,Amoxapine,,,,,2.5,1.64,0.16,11.76,,17,16,1,3,0,0,1,0,0,0
140-29-4,Phenylacetonitrile,,,,,0.75,1.03,0,4.649,,8,7,0,1,0,0,0,0,0,0
14036-56-7,Butyl 3-butenoate,,,,,0.21,0.59,0,4.218,,,,,,,,,,,
140-39-6,4-Methylphenyl acetate,,,,,0.66,1.01,0,4.9,,9,10,2,0,0,0,0,0,0,0
140-57-8,Aramite,,,,,1.34,1.4,0,10.894,,15,23,4,0,1,0,1,0,0,0
140-65-8,Pramocaine,,,,,1.03,1.5,0,10.3,,17,27,3,1,0,0,0,0,0,0
140-67-0,4-Allylanisole,,,,,0.8,0.73,0,5.331,,10,12,1,0,0,0,0,0,0,0
14073-97-3,Menthone,,,,,0.32,0.61,0,5.102,,,,,,,,,,,
14080-23-0,2-Cyanopyrimidine,,,,,0.74,0.66,0,3.35,,,,,,,,,,,
140-88-5,Ethyl acrylate,,,,,0.21,0.64,0,2.758,,5,8,2,0,0,0,0,0,0,0
14090-87-0,Octan-2.4-dione,,,,,0.41,0.67,0.07,4.753,,8,14,2,0,0,0,0,0,0,0
14090-88-1,Nonan-4.6-dione,,,,,0.41,0.64,0.11,5.218,,9,16,2,0,0,0,0,0,0,0
14098-24-9,Benzo-18-crown-6,,,,,1.05,2.47,0,11.076,,,,,,,,,,,
14098-44-3,Benzo-15-crown-5,,,,,1.06,1.94,0,9.403,,14,20,5,0,0,0,0,0,0,0
141-03-7,Di-n-butyl succinate,,,,,0.04,0.95,0,6.856,,12,22,4,0,0,0,0,0,0,0
141-06-0,Propyl pentanoate,,,,,0.08,0.56,0,4.312,,8,16,2,0,0,0,0,0,0,0
141-12-8,Neryl acetate,,,,,0.35,0.7,0,6.088,,12,20,2,0,0,0,0,0,0,0
1412-28-3,7-Nitro-1.3.5-triazaadamantane,,,,,1.34,1.78,0,6.855,,,,,,,,,,,
141-28-6,Diethyl adipate,,,,,0.09,1.1,0,5.93,,10,18,4,0,0,0,0,0,0,0
141-32-2,n-Butyl acrylate,,,,,0.18,0.62,0,3.79,,7,12,2,0,0,0,0,0,0,0
141-43-5,2-Aminoethanol,,,,,0.46,0.67,0.52,2.432,,2,7,1,1,0,0,0,0,0,0
141-73-1,4-Methyl-4-methoxypentan-2-ol,,,,,0.18,0.65,0.31,3.963,,7,16,2,0,0,0,0,0,0,0
14174-08-4,Benzo-12-crown-4,,,,,1.07,1.7,0,7.957,,12,16,4,0,0,0,0,0,0,0
141-76-4,3-Iodopropanoic acid,,,,,0.77,1.02,0.62,4.228,,3,5,2,0,0,0,0,0,1,0
141-79-7,4-Methylpent-3-ene-2-one,,,,,0.41,0.66,0,3.371,,6,10,1,0,0,0,0,0,0,0
141-82-2,Malonic acid,,,,,0.38,1.46,0.99,3.616,,3,4,4,0,0,0,0,0,0,0
14187-32-7,Dibenzo-18-crown-6,,,,,1.69,2.73,0,13.384,,20,24,6,0,0,0,0,0,0,0
141-93-5,1.3-Diethylbenzene,,,,,0.64,0.5,0,4.686,,10,14,0,0,0,0,0,0,0,0
1419-49-4,3.4'-Dihydroxyflavone,,,,,2.18,1.9,1.04,10.3,,,,,,,,,,,
141-97-9,Ethyl acetoacetate,,,,,0.21,0.8,0,3.752,,6,10,3,0,0,0,0,0,0,0
14199-15-6,Methyl 4-hydroxyphenylacetate,,,,,0.91,1.36,0.59,6.22,,9,10,3,0,0,0,0,0,0,0
1420-07-1,2-tert-Butyl-4.6-dinitrophenol,,,,,1.23,1.6,0.2,8.2,,10,12,5,2,0,0,0,0,0,0
142-09-6,Hexyl methacrylate,,,,,0.15,0.49,0,5.197,,10,18,2,0,0,0,0,0,0,0
142-28-9,1.3-Dichloropropane,,,,,0.41,0.8,0.05,3.106,,3,6,0,0,0,0,2,0,0,0
14248-50-1,4-Bromopyridine N-oxide,,,,,0.98,1.12,0.49,4.745,,5,4,1,1,0,0,0,1,0,0
142494-12-0,Org13011,,,,,1.07,1.98,0,11.63,,,,,,,,,,,
142-62-1,Hexanoic acid,,,,,0.17,0.63,0.62,3.697,,6,12,2,0,0,0,0,0,0,0
14267-92-6,5-Chloropent-1-yne,,,,,0.38,0.65,0.12,3.07,,5,7,0,0,0,0,1,0,0,0
142-68-7,Tetrahydropyran,,,,,0.3,0.5,0,3.017,,5,10,1,0,0,0,0,0,0,0
142-82-5,n-Heptane,,,,,0,0,0,3.173,,7,16,0,0,0,0,0,0,0,0
142-83-6,Hexa-2.4-dienal,,,,,0.77,0.84,0,3.8,,6,8,1,0,0,0,0,0,0,0
142-84-7,Di-n-propylamine,,,,,0.12,0.3,0.08,3.351,,6,15,0,1,0,0,0,0,0,0
142-90-5,Dodecyl methacrylate,,,,,0.13,0.49,0,8.117,,16,30,2,0,0,0,0,0,0,0
14290-92-7,Ethyl-tert-butylsulfide,,,,,0.33,0.3,0,3.52,,6,14,0,0,1,0,0,0,0,0
142-92-7,n-Hexyl acetate,,,,,0.06,0.6,0,4.29,,8,16,2,0,0,0,0,0,0,0
142-96-1,Di-n-butyl ether,,,,,0,0.25,0,3.924,,8,18,1,0,0,0,0,0,0,0
14303-70-6,Propyl tetradecanoate,,,,,-0.01,0.56,0,8.636,,,,,,,,,,,
143-06-6,Hexamethylene carbamate,,,,,0.56,1.68,1,6.508,,,,,,,,,,,
143-07-7,Dodecanoic acid,,,,,0.08,0.65,0.62,6.624,,12,24,2,0,0,0,0,0,0,0
143-08-8,Nonan-1-ol,,,,,0.19,0.42,0.37,5.12,,9,20,1,0,0,0,0,0,0,0
14309-40-1,Heptyl 4-aminobenzoate,,,,,1,1.35,0.22,8.834,,14,21,2,1,0,0,0,0,0,0
14309-41-2,Octyl 4-aminobenzoate,,,,,1,1.36,0.22,9.352,,15,23,2,1,0,0,0,0,0,0
1430-97-3,2-Methylfluorene,,,,,1.59,1.03,0,7.426,,14,12,0,0,0,0,0,0,0,0
143-10-2,1-Decanethiol,,,,,0.34,0.4,0,6.28,,10,22,0,0,1,0,0,0,0,0
143-13-5,Nonyl acetate,,,,,0.04,0.6,0,5.768,,11,22,2,0,0,0,0,0,0,0
14315-11-8,4-Methylbenzo[b]thiophene,,,,,1.32,0.85,0,5.732,,9,8,0,0,1,0,0,0,0,0
14315-14-1,5-Methylbenzo[b]thiophene,,,,,1.32,0.85,0,5.701,,9,8,0,0,1,0,0,0,0,0
14315-15-2,7-Methylbenzo[b]thiophene,,,,,1.32,0.85,0,5.613,,,,,,,,,,,
143-15-7,1-Bromododecane,,,,,0.33,0.4,0,7.16,,12,25,0,0,0,0,0,1,0,0
14321-27-8,N-Ethylbenzylamine,,,,,0.76,0.78,0.1,5.215,,9,13,0,1,0,0,0,0,0,0
143-22-6,Triethylene glycol butyl ether,,,,,0.17,0.96,0.28,6.474,,10,22,4,0,0,0,0,0,0,0
143-24-8,2.5.8.11.14-Pentaoxopentadecane,,,,,-0.02,1.11,0,6.498,,10,22,5,0,0,0,0,0,0,0
143-27-1,Hexadecylamine,,,,,0.17,0.35,0.16,8.619,,16,35,0,1,0,0,0,0,0,0
143-36-2,Methylmercury(II) iodide,,,,,1.4,1.31,0.07,4.839,,1,1,0,0,0,0,0,0,1,0
143390-89-0,Kresoxim-methyl,,,,,1.15,1.42,0,10.38,,18,19,4,1,0,0,0,0,0,0
1435-68-3,2'-Hydroxy-5'-methyl-4-nitroazobenzene,,,,,1.87,1.38,0.5,9.494,,13,11,3,3,0,0,0,0,0,0
1438-94-4,N-Furfurylpyrrole,,,,,0.83,1.1,0,5.061,,9,9,1,1,0,0,0,0,0,0
144034-80-0,Rizatriptan,,,,,2.13,2.9,0.31,12.08,,,,,,,,,,,
144-11-6,Trihexylphenidyl,,,,,1.37,1.2,0.3,11.28,,20,31,1,1,0,0,0,0,0,0
14417-01-7,N.N-Dimethylbenzenesulfonamide,,,,,1.1,1.58,0,6.594,,8,11,2,1,1,0,0,0,0,0
144-48-9,Iodoacetamide,,,,,1.07,1.48,0.55,4.714,,2,4,1,1,0,0,0,0,1,0
144-49-0,Fluoroacetic acid,,,,,0.27,1.18,0.81,2.448,,2,3,2,0,0,1,0,0,0,0
144-62-7,Oxalic acid,,,,,0.4,1.21,0.75,2.835,,2,2,4,0,0,0,0,0,0,0
14473-89-3,3-Methyl-trans-cinnamic acid,,,,,1.14,0.99,0.58,6.223,,,,,,,,,,,
14474-56-7,4-Ethoxypyridine N-oxide,,,,,0.72,1.19,0.72,5.135,,,,,,,,,,,
144-80-9,Sulfacetamide,,,,,1.48,2.73,0.42,8.73,,8,10,3,2,1,0,0,0,0,0
144-82-1,Sulfamethizole,,,,,2.14,2.4,0.61,10.53,,,,,,,,,,,
144-83-2,Sulfapyridine,,,,,2.04,2.23,0.59,10.27,,11,11,2,3,1,0,0,0,0,0
14489-88-4,N-m-Tolylbenzohydroxamic acid,,,,,1.71,1.3,0.31,8.79,,,,,,,,,,,
14508-49-7,Chloropyrazine,,,,,0.73,0.94,0,3.627,,4,3,0,2,0,0,1,0,0,0
14529-53-4,2-Ethoxypyridine,,,,,0.64,0.68,0,4.13,,7,9,1,1,0,0,0,0,0,0
1453-25-4,1-Methylcycloheptene,,,,,0.43,0.22,0,3.957,,8,14,0,0,0,0,0,0,0,0
1453-58-3,3-Methylpyrazole,,,,,0.59,0.92,0.54,3.528,,4,6,0,2,0,0,0,0,0,0
1454-84-8,Nonadecan-1-ol,,,,,0.14,0.42,0.37,10.163,,19,40,1,0,0,0,0,0,0,0
1454-85-9,Heptadecan-1-ol,,,,,0.15,0.42,0.37,9.164,,17,36,1,0,0,0,0,0,0,0
1455-18-1,3-Methylbenzo[b]thiophene,,,,,1.32,0.85,0,5.73,,9,8,0,0,1,0,0,0,0,0
1455-21-6,1-Nonanethiol,,,,,0.35,0.4,0,5.75,,9,20,0,0,1,0,0,0,0,0
14556-46-8,Bupranolol,,,,,1,1.15,0.17,9.14,,,,,,,,,,,
1459-93-4,Dimethyl isophthalate,,,,,0.78,1.48,0,6.519,,10,10,4,0,0,0,0,0,0,0
1460-57-7,trans-Cyclohexane-1.2-diol,,,,,0.63,0.8,0.75,4.182,,6,12,2,0,0,0,0,0,0,0
14611-51-9,Selegiline,,,,,0.87,1.03,0.09,7.21,,13,17,0,1,0,0,0,0,0,0
1461-25-2,Tetrabutyltin,,,,,0.47,0.16,0,9.508,,16,36,0,0,1,0,0,0,0,0
1462-03-9,1-Methylcyclopentanol,,,,,0.39,0.44,0.27,3.279,,6,12,1,0,0,0,0,0,0,0
1462-84-6,2.3.6-Trimethylpyridine,,,,,0.67,0.72,0,4.364,,8,11,0,1,0,0,0,0,0,0
1463-01-0,2.3-Dimethyl-6-ethylpyridine,,,,,0.67,0.68,0,4.69,,9,13,0,1,0,0,0,0,0,0
1463-17-8,2.8-Dimethylquinoline,,,,,1.32,0.93,0,5.919,,11,11,0,1,0,0,0,0,0,0
146-54-3,Triflupromazine,,,,,1.66,1.37,0,11.39,,18,19,0,2,1,3,0,0,0,0
14657-64-8,2-Carboxyethylphenylphosphinic acid,,,,,1.09,1.53,0.9,7.655,,,,,,,,,,,
14667-55-1,Trimethylpyrazine,,,,,0.66,0.74,0,4.277,,7,10,0,2,0,0,0,0,0,0
1466-76-8,2.6-Dimethoxybenzoic acid,,,,,0.88,1.68,0.68,6.7,,9,10,4,0,0,0,0,0,0,0
14676-29-0,3-Ethyl-2-methylheptane,,,,,0,0,0,4.337,,10,22,0,0,0,0,0,0,0,0
14686-13-6,(E)-Hept-2-ene,,,,,0.12,0.08,0,3.18,,7,14,0,0,0,0,0,0,0,0
14686-14-7,trans-Hept-3-ene,,,,,0.12,0.08,0,3.125,,7,14,0,0,0,0,0,0,0,0
14689-51-1,2-Trifluoromethyl-4-nitrozimidazole,,,,,1.27,1.76,0.3,6.939,,,,,,,,,,,
1468-95-7,9-Anthracenemethanol,,,,,2.24,1.48,0.31,9.21,,15,12,1,0,0,0,0,0,0,0
1470-94-6,5-Indanol,,,,,0.96,0.83,0.56,5.879,,9,10,1,0,0,0,0,0,0,0
14719-83-6,Methyl 3-nitro-4-chlorobenzoate,,,,,1.1,1.48,0,6.709,,,,,,,,,,,
1476-11-5,cis-1.4-Dichlorobut-2-ene,,,,,0.58,0.95,0,3.816,,4,6,0,0,0,0,2,0,0,0
14763-60-1,4-Methylsulfonylphenol,,,,,0.98,2,0.95,6.89,,7,8,3,0,1,0,0,0,0,0
14763-61-2,3-Methylsulfonylphenol,,,,,0.98,1.85,0.85,6.58,,7,8,3,0,1,0,0,0,0,0
1477-50-5,Indole-2-carboxylic acid,,,,,1.41,1.43,0.88,6.66,,9,7,2,1,0,0,0,0,0,0
147-81-9,Arabinose,,,,,1.11,1.4,1.05,5.78,,5,10,5,0,0,0,0,0,0,0
14804-32-1,2-Ethylanisole,,,,,0.74,0.8,0,4.656,,9,12,1,0,0,0,0,0,0,0
1482-13-9,7-Methyloctan-2-one,,,,,0.1,0.65,0,4.575,,9,18,1,0,0,0,0,0,0,0
148-24-3,8-Hydroxyquinoline,,,,,1.4,1.03,0,5.772,,9,7,1,1,0,0,0,0,0,0
148356-24-5,4'.5-Dihydroxyisoflavone,,,,,2.14,1.99,0.71,10.24,,,,,,,,,,,
1483-60-9,1.3-Dimethyl-4-sec.-butylbenzene,,,,,0.67,0.55,0,5.569,,12,18,0,0,0,0,0,0,0,0
1483-60-9,1.3-Dimethyl-4-sec.-butylbenzene,,,,,0.69,0.55,0,5.49,,12,18,0,0,0,0,0,0,0,0
14838-15-4,Norephedrin,,,,,1.03,1.03,0.44,6.07,,9,13,1,1,0,0,0,0,0,0
1484-12-4,9-Methylcarbazole,,,,,1.53,1.63,0,7.636,,13,11,0,1,0,0,0,0,0,0
1484-84-0,2-Piperidineethanol,,,,,0.59,0.75,0.4,4.68,,7,15,1,1,0,0,0,0,0,0
14850-23-8,trans-Oct-4-ene,,,,,0.11,0.08,0,3.593,,8,16,0,0,0,0,0,0,0,0
148-53-8,o-Vanillin,,,,,1.04,1.26,0.07,5.608,,8,8,3,0,0,0,0,0,0,0
148-79-8,Thiabendazole,,,,,2.22,1.9,0.35,8.762,,10,7,0,3,1,0,0,0,0,0
14885-29-1,Ipronidazole,,,,,0.9,1.59,0,6.173,,,,,,,,,,,
1489-53-8,1.2.3-Trifluorobenzene,,,,,0.31,0.59,0,2.75,,6,3,0,0,0,3,0,0,0,0
14906-59-3,4-Cyanopyridine N-oxide,,,,,0.83,1.66,0.35,4.916,,6,4,1,2,0,0,0,0,0,0
14912-44-8,?-Ylangene,,,,,0.64,0.13,0,6.557,,15,24,0,0,0,0,0,0,0,0
1491-59-4,Oxymetazoline,,,,,1.35,1.45,0.84,10.309,,16,24,1,2,0,0,0,0,0,0
14920-81-1,Methyl 2.6-dimethylbenzoate,,,,,0.82,0.85,0,5.419,,10,12,2,0,0,0,0,0,0,0
14920-87-7,Methyl 2.6-dichlorobenzoate,,,,,1.01,1.3,0,6.23,,,,,,,,,,,
149-30-4,Mercaptobenzothiazole,,,,,1.81,1.35,0.1,6.693,,7,5,0,1,2,0,0,0,0,0
149-32-6,Erythritol,,,,,0.79,1.5,1.65,5.3,,4,10,4,0,0,0,0,0,0,0
1493-27-2,1-Fluoro-2-nitrobenzene,,,,,0.77,1.16,0,4.542,,6,4,2,1,0,1,0,0,0,0
14938-35-3,4-Pentylphenol,,,,,0.79,0.86,0.55,6.342,,11,16,1,0,0,0,0,0,0,0
1498-96-0,4-Butoxybenzoic acid,,,,,0.88,0.97,0.56,6.711,,11,14,3,0,0,0,0,0,0,0
149-91-7,Gallic acid,,,,,1.29,1.54,1.62,6.648,,7,6,5,0,0,0,0,0,0,0
15009-91-3,2-Nitropyridine,,,,,0.89,1.42,0,4.667,,5,4,2,2,0,0,0,0,0,0
15011-28-6,4.5-Dimethyl-8-hydroxyquinoline,,,,,1.4,1.18,0,6.88,,,,,,,,,,,
15012-36-9,Methyl 2.3-dimethylbenzoate,,,,,0.8,0.85,0,5.837,,10,12,2,0,0,0,0,0,0,0
150-13-0,4-Aminobenzoic acid,,,,,1.08,1.65,0.94,5.916,,7,7,2,1,0,0,0,0,0,0
150-19-6,3-Methoxyphenol,,,,,0.88,1.17,0.59,4.803,,7,8,2,0,0,0,0,0,0,0
1502-05-2,Cyclodecanol,,,,,0.63,0.54,0.27,5.722,,10,20,1,0,0,0,0,0,0,0
1502-06-3,cyclodecanone,,,,,0.53,0.86,0,6.063,,10,18,1,0,0,0,0,0,0,0
1502-38-1,Methylcyclooctane,,,,,0.34,0.1,0,4.548,,9,18,0,0,0,0,0,0,0,0
1504-74-1,2-Methoxycinnamaldehyde,,,,,1.05,1.48,0,6.4,,10,10,2,0,0,0,0,0,0,0
150-60-7,Dibenzyldisulfide,,,,,1.84,1.55,0,9.83,,14,14,0,0,2,0,0,0,0,0
150-68-5,Monuron,,,,,1.14,1.5,0.47,7.18,,9,11,1,2,0,0,1,0,0,0
150-76-5,4-Methoxyphenol,,,,,0.9,1.17,0.57,4.773,,7,8,2,0,0,0,0,0,0,0
150-78-7,1.4-Dimethoxybenzene,,,,,0.81,1,0,5.044,,8,10,2,0,0,0,0,0,0,0
150-86-7,Phytol,,,,,0.3,0.95,0.38,10.84,,20,40,1,0,0,0,0,0,0,0
151-00-8,Isobutanal oxime,,,,,0.37,0.59,0.35,2.992,,4,9,1,1,0,0,0,0,0,0
151-10-0,1.3-Dimethoxybenzene,,,,,0.82,1.01,0,5.022,,8,10,2,0,0,0,0,0,0,0
151319-34-5,Zaleplon,,,,,2.36,2.45,0,12.428,,17,15,1,5,0,0,0,0,0,0
1515-95-3,4-Ethylanisole,,,,,0.73,0.8,0,4.963,,9,12,1,0,0,0,0,0,0,0
15181-08-5,1-Ethyl-4-n-butylbenzene,,,,,0.62,0.49,0,5.838,,,,,,,,,,,
1518-72-5,Diisobutyldisulphide,,,,,0.6,0.4,0,5.558,,8,18,0,0,2,0,0,0,0,0
15192-80-0,trans-Allo-ocimene,,,,,0.59,0.39,0,5.179,,8,12,0,0,0,0,0,0,0,0
1520-21-4,4-vinylaniline,,,,,1.21,1.1,0.25,4.908,,8,9,0,1,0,0,0,0,0,0
152-62-5,Dydrogesterone,,,,,1.63,3.33,0,13.38,,21,28,2,0,0,0,0,0,0,0
1528-30-9,Methylenecyclopentane,,,,,0.35,0.28,0,2.881,,6,10,0,0,0,0,0,0,0,0
