CAS (0),ChemicalName (1),Label (2),MRF (3),molecularWeight (4),overloadMass_1 (5),E (6),S (6),A (7),L (8),combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numSilicon,,,
591-78-6,2-Hexanone,,0.647,100.16,391.3,0.136,0.668,0,3.273,846.5,0,6,12,1,0,0,0,0,0,0,,,
1504-74-1,2-Methoxycinnamaldehyde,,1.051,162.18,326.9,1.143,1.517,0,6.322,1168.9,1,10,10,2,0,0,0,0,0,0,,,
109-86-4,2-Methoxyethanol,,0.265,76.09,398.1,0.268,0.591,0.362,2.338,400.2,0,3,8,2,0,0,0,0,0,0,,,
117-82-8,2-Methoxyethyl)phthalate,,1.263,282.28,302.0,0.788,1.742,0,8.35,1565.3,0,14,18,6,0,0,0,0,0,0,,,
93-04-9,2-Methoxynaphthalene,,1.308,158.19,328.4,1.476,1.161,0,6.232,1320.7,2,11,10,1,0,0,0,0,0,0,,,
75-85-4,2-Methyl-2-butanol,,0.559,88.15,400.7,0.193,0.388,0.247,2.538,742.9,0,5,12,1,0,0,0,0,0,0,,,
95-53-4,2-Methylaniline,,0.855,107.15,361.9,0.771,1.022,0.208,4.321,940.2,1,7,9,0,1,0,0,0,0,0,,,
120-75-2,2-Methylbenzothiazole,Sulfur,0.97,149.21,342.3,1.075,0.953,0,5.78,1074.7,1,8,7,0,1,1,0,0,0,0,,,
137-32-6,2-Methylbutanol,,0.559,88.15,392.8,0.217,0.429,0.336,2.981,742.9,0,5,12,1,0,0,0,0,0,0,,,
91-57-6,2-Methylnaphthalene,,1.349,142.19,341.2,1.197,0.921,0,5.778,1368.8,2,11,10,0,0,0,0,0,0,0,,,
95-48-7,2-Methylphenol,,0.788,108.13,360.7,0.772,0.748,0.607,4.281,862.7,1,7,8,1,0,0,0,0,0,0,,,
78-83-1,2-Methylpropanol,,0.432,74.12,400.8,0.206,0.386,0.362,2.401,595.7,0,4,10,1,0,0,0,0,0,0,,,
135-19-3,2-Naphthol,,1.182,144.16,319.2,1.467,1.187,0.773,6.144,1173.4,2,10,8,1,0,0,0,0,0,0,,,
117-83-9,2-n-Butoxyethyl)phthalate,,2.021,366.43,272.4,1.084,1.505,0,10.546,2448.9,0,20,30,6,0,0,0,0,0,0,,,
88-74-4,2-Nitroaniline,,0.634,138.13,329.3,1.215,1.467,0.346,5.771,682.1,1,6,6,2,2,0,0,0,0,0,,,
88-75-5,2-Nitrophenol,,0.567,139.11,355.4,0.942,1.107,0.033,4.731,604.7,1,6,5,3,1,0,0,0,0,0,,,
79-46-9,2-Nitropropane,,0.253,89.09,394.5,0.216,0.898,0.01,2.707,385.8,0,3,7,2,1,0,0,0,0,0,,,
88-72-2,2-Nitrotoluene,,0.735,137.13,353.3,0.866,1.115,0,4.989,800.1,1,7,7,2,1,0,0,0,0,0,,,
821-55-6,2-Nonanone,,1.026,142.23,371.9,0.113,0.676,0,4.764,1288.3,0,9,18,1,0,0,0,0,0,0,,,
111-13-7,2-Octanone,,0.9,128.21,378.6,0.109,0.661,0,4.277,1141,0,8,16,1,0,0,0,0,0,0,,,
107-87-9,2-Pentanone,,0.521,86.13,398.2,0.143,0.681,0,2.731,699.2,0,5,10,1,0,0,0,0,0,0,,,
1123-85-9,2-Phenyl-1-propanol,,1.041,136.19,349.9,0.81,0.866,0.395,5.159,1157.2,1,9,12,1,0,0,0,0,0,0,,,
103-81-1,2-Phenylacetamide,,0.902,135.16,330.1,1.294,1.729,0.345,5.376,995.6,1,8,9,1,1,0,0,0,0,0,,,
60-12-8,2-Phenylethanol,,0.915,122.16,356.4,0.808,0.821,0.409,4.698,1009.9,1,8,10,1,0,0,0,0,0,0,,,
112-12-9,2-Undecanone,,1.279,170.29,359.5,0.105,0.679,0,5.721,1582.9,0,11,22,1,0,0,0,0,0,0,,,
91-94-1,3.3’-Dichlorobenzidine,Halogenated,1.404,253.12,255.4,1.737,1.921,0.752,10.025,1432.5,2,12,10,0,2,0,0,2,0,0,,,
95-76-1,3.4-Dichloroaniline,Halogenated,0.644,162.01,329.0,1.218,1.21,0.421,5.973,694.3,1,6,5,0,1,0,0,2,0,0,,,
108-68-9,3.5-Dimethylphenol,,0.915,122.16,352.9,0.786,0.799,0.662,4.759,1009.9,1,8,10,1,0,0,0,0,0,0,,,
108-44-1,3-Methylaniline,,0.855,107.15,360.4,0.779,1.058,0.195,4.404,940.2,1,7,9,0,1,0,0,0,0,0,,,
123-51-3,3-Methylbutanol,,0.559,88.15,393.1,0.198,0.423,0.35,2.968,742.9,0,5,12,1,0,0,0,0,0,0,,,
108-39-4,3-Methylphenol,,0.788,108.13,358.6,0.776,0.771,0.695,4.327,862.7,1,7,8,1,0,0,0,0,0,0,,,
99-09-2,3-Nitroaniline,,0.634,138.13,322.9,1.234,1.535,0.49,6.034,682.1,1,6,6,2,2,0,0,0,0,0,,,
99-08-1,3-Nitrotoluene,,0.735,137.13,349.9,0.874,1.121,0,5.241,800.1,1,7,7,2,1,0,0,0,0,0,,,
122-97-4,3-Phenylpropan-1-ol,,1.041,136.19,349.9,0.81,0.866,0.395,5.159,1157.2,1,9,12,1,0,0,0,0,0,0,,,
92-86-4,4.4-Dibromobiphenyl,Halogenated,1.504,311.98,287.7,2.126,1.173,0,8.674,1404.9,2,12,8,0,0,0,0,0,2,0,,,
101-77-9,4.4-Methylenedianiline,,1.614,198.26,275.6,2.013,1.696,0.662,8.522,1678.3,2,13,14,0,2,0,0,0,0,0,,,
92-91-1,4-Acetylbiphenyl,,1.612,196.24,304.5,1.505,1.526,0,7.661,1675.1,2,14,12,1,0,0,0,0,0,0,,,
103-88-8,4-Bromoacetanilide,Halogenated,0.935,214.05,309.7,1.065,1.537,0.806,6.89,961.8,1,8,8,1,1,0,0,0,1,0,,,
89-63-4,4-Chloro-2-nitroaniline,Halogenated,0.591,172.57,318.3,0.985,1.425,0.453,6.781,632.9,1,6,5,2,2,0,0,1,0,0,,,
106-47-8,4-Chloroaniline,Halogenated,0.686,127.57,347.6,0.979,1.11,0.341,4.977,743.6,1,6,6,0,1,0,0,1,0,0,,,
106-48-9,4-Chlorophenol,Halogenated,0.62,128.55,346.3,1.032,0.81,0.873,4.795,666.1,1,6,5,1,0,0,0,1,0,0,,,
767-00-0,4-Cyanophenol,,0.739,119.12,331.0,1.099,1.261,0.824,5.486,804.6,1,7,5,1,1,0,0,0,0,0,,,
60-11-7,4-Dimethylaminoazobenzene,,1.601,225.29,283.1,2.057,1.748,0,8.516,1811.2,1,14,15,0,3,0,0,0,0,0,,,
371-40-4,4-Fluoroaniline,Halogenated,0.69,111.11,365.1,0.723,0.958,0.331,4.063,747.5,1,6,6,0,1,0,1,0,0,0,,,
123-08-0,4-Hydroxybenzaldehyde,,0.71,122.12,332.3,1.156,1.263,0.913,5.243,770.8,1,7,6,2,0,0,0,0,0,0,,,
623-05-2,4-Hydroxybenzylalcohol,,0.747,124.13,331.5,1.24,1.285,0.989,5.119,814.5,1,7,8,2,0,0,0,0,0,0,,,
96-96-8,4-Methoxy-2-nitroaniline,,0.719,168.15,313.9,1.294,1.577,0.314,6.791,781.2,1,7,8,3,2,0,0,0,0,0,,,
105-13-5,4-Methoxybenzylalcohol,,0.873,138.16,343.4,0.888,0.968,0.544,5.326,961.8,1,8,10,2,0,0,0,0,0,0,,,
