CAS (0),ChemicalName (1),Label (2),MRF (3),molecularWeight (4),overloadMass_1 (5),E (6),S (6),A (7),L (8),combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numSilicon,,,
97-53-0,Eugenol,,1.088,164.19,339.1,1.076,0.82,0.398,5.765,1212.6,1,10,12,2,0,0,0,0,0,0,,,
206-44-0,Fluoranthene,PAH,1.92,202.24,279.0,2.402,1.51,0,8.719,1886.7,3,16,10,0,0,0,0,0,0,0,,,
86-73-7,Fluorene,,1.527,166.21,317.3,1.659,1.103,0,6.952,1576,2,13,10,0,0,0,0,0,0,0,,,
141-27-5,Geranial,,1.077,152.23,352.8,0.612,0.938,0,5.463,1348.2,0,10,16,1,0,0,0,0,0,0,,,
106-24-1,Geraniol,,1.115,154.24,355.2,0.493,0.635,0.282,5.416,1391.9,0,10,18,1,0,0,0,0,0,0,,,
111-70-6,Heptan-1-ol,,0.811,116.20,377.6,0.202,0.45,0.335,4.132,1037.5,0,7,16,1,0,0,0,0,0,0,,,
111-71-7,Heptanal,,0.774,114.18,384.0,0.14,0.643,0,3.855,993.8,0,7,14,1,0,0,0,0,0,0,,,
118-74-1,Hexachlorobenzene,Halogenated,0.45,284.76,312.5,1.53,0.819,0,7.73,467.9,1,6,0,0,0,0,0,6,0,0,,,
107-46-0,Hexamethyldisiloxane,Silane/Siloxane,0.76,162.38,409.9,-0.27,-0.187,0,3.115,977.6,0,6,18,1,0,0,0,0,0,2,,,
111-27-3,Hexan-1-ol,,0.685,102.17,384.0,0.21,0.432,0.35,3.646,890.2,0,6,14,1,0,0,0,0,0,0,,,
66-25-1,Hexanal,,0.647,100.16,390.6,0.146,0.639,0,3.35,846.5,0,6,12,1,0,0,0,0,0,0,,,
107-75-5,Hydroxycitronellal,,1.111,172.26,349.3,0.54,0.562,0.68,5.496,1387.4,0,10,20,2,0,0,0,0,0,0,,,
80-54-6,Lilial,,1.634,204.30,334.2,0.775,0.994,0,6.659,1849.9,1,14,20,1,0,0,0,0,0,0,,,
138-86-3,Limonene,,1.119,136.23,372.3,0.497,0.338,0,4.689,1396.4,0,10,16,0,0,0,0,0,0,0,,,
78-70-6,Linalool,,1.115,154.24,368.3,0.325,0.524,0.199,4.783,1391.9,0,10,18,1,0,0,0,0,0,0,,,
127-25-3,Methylabietate,,2.312,316.46,280.5,1.164,1.091,0,10.268,2788.9,0,21,32,2,0,0,0,0,0,0,,,
93-58-3,Methylbenzoate,,0.836,136.14,361.7,0.738,0.916,0,4.681,918.1,1,8,8,2,0,0,0,0,0,0,,,
108-87-2,MethylCyclohexane,,0.815,98.18,396.5,0.244,0.118,0,3.318,1042,0,7,14,0,0,0,0,0,0,0,,,
110-42-9,Methyldecanoate,,1.237,186.28,359.7,0.057,0.558,0,5.872,1534.7,0,11,22,2,0,0,0,0,0,0,,,
93-15-2,Methyleugenol,,1.214,178.22,341.1,0.939,0.991,0,5.977,1359.9,1,11,14,2,0,0,0,0,0,0,,,
106-70-7,Methylhexanoate,,0.732,130.18,384.2,0.084,0.566,0,3.967,945.6,0,7,14,2,0,0,0,0,0,0,,,
1731-84-6,Methylnonanoate,,1.111,172.26,365.7,0.054,0.557,0,5.421,1387.4,0,10,20,2,0,0,0,0,0,0,,,
111-11-5,Methyloctanoate,,0.985,158.23,371.6,0.069,0.557,0,4.955,1240.1,0,9,18,2,0,0,0,0,0,0,,,
2031-67-6,Methyltriethoxysilane,Silane/Siloxane,0.766,178.30,393.8,-0.23,0.249,0,3.869,984.8,0,7,18,3,0,0,0,0,0,1,,,
2216-15-1,N.N-Diethyl-4-nitroaniline,,1.138,194.23,300.4,1.316,1.722,0,7.965,1271.2,1,10,14,2,2,0,0,0,0,0,,,
85-98-3,N.N-Diethylcarbanilide,,1.913,268.35,301.1,1.735,1.265,0,7.948,2175.5,1,17,20,1,2,0,0,0,0,0,,,
14433-76-2,N.N-Diethyldodecamide,,1.43,199.33,313.0,0.394,0.934,0,8.719,1759.4,0,12,25,1,1,0,0,0,0,0,,,
100-23-2,N.N-Dimethyl-4-nitroaniline,,0.886,166.18,311.6,1.029,1.917,0,7.208,976.7,1,8,10,2,2,0,0,0,0,0,,,
121-69-7,N.N-Dimethylaniline,,0.981,121.18,359.5,0.865,0.798,0,4.842,1087.4,1,8,11,0,1,0,0,0,0,0,,,
74-31-7,N.N-Diphenyl-4-phenylenediamine,PAH,2.223,260.33,242.6,2.67,1.847,0.524,10.369,2239.8,3,18,16,0,2,0,0,0,0,0,,,
91-20-3,Naphthalene,,1.223,128.16,348.9,1.241,0.921,0,5.144,1221.6,2,10,8,0,0,0,0,0,0,0,,,
104-51-8,n-Butylbenzene,,1.208,134.21,368.3,0.595,0.484,0,4.75,1352.7,1,10,14,0,0,0,0,0,0,0,,,
124-18-5,n-Decane,Alkane,1.231,142.28,383.1,0,0,0,4.7,1527.5,0,10,22,0,0,0,0,0,0,0,,,
112-40-3,n-Dodecane,Alkane,1.483,170.33,370.2,0,0,0,5.685,1822,0,12,26,0,0,0,0,0,0,0,,,
106-26-3,Neral,,1.077,152.23,354.5,0.589,0.901,0,5.391,1348.2,0,10,16,1,0,0,0,0,0,0,,,
142-82-5,n-Heptane,Alkane,0.852,100.20,403.2,0,0,0,3.173,1085.7,0,7,16,0,0,0,0,0,0,0,,,
544-76-3,n-Hexadecane,Alkane,1.988,226.43,343.6,0,0,0,7.714,2411.1,0,16,34,0,0,0,0,0,0,0,,,
110-54-3,n-Hexane,Alkane,0.726,86.17,409.8,0,0,0,2.668,938.4,0,6,14,0,0,0,0,0,0,0,,,
98-92-0,Nicotinamide,,0.675,122.13,329.3,1.227,1.804,0.43,5.342,730.3,1,6,6,1,2,0,0,0,0,0,,,
23950-04-1,Nicotine,,1.221,162.23,343.0,0.882,0.959,0,5.92,1367.6,1,10,14,0,2,0,0,0,0,0,,,
98-95-3,Nitrobenzene,,0.608,123.11,359.3,0.846,1.143,0,4.53,652.8,1,6,5,2,1,0,0,0,0,0,,,
79-16-3,N-Methylacetamide,,0.294,73.10,381.2,0.263,1.293,0.157,3.133,434,0,3,7,1,1,0,0,0,0,0,,,
100-61-8,N-Methylaniline,,0.855,107.15,359.5,0.95,0.9,0.17,4.478,940.2,1,7,9,0,1,0,0,0,0,0,,,
111-84-2,n-Nonane,Alkane,1.105,128.25,389.7,0,0,0,4.201,1380.2,0,9,20,0,0,0,0,0,0,0,,,
593-45-3,n-Octadecane,Alkane,2.241,254.48,330.4,0,0,0,8.722,2705.6,0,18,38,0,0,0,0,0,0,0,,,
111-65-9,n-Octane,Alkane,0.979,114.22,396.4,0,0,0,3.689,1232.9,0,8,18,0,0,0,0,0,0,0,,,
143-08-8,Nonan-1-ol,,1.064,144.25,364.6,0.199,0.406,0.356,5.15,1332,0,9,20,1,0,0,0,0,0,0,,,
124-19-6,Nonanal,,1.026,142.23,371.4,0.121,0.635,0,4.84,1288.3,0,9,18,1,0,0,0,0,0,0,,,
629-59-4,n-Tetradecane,Alkane,1.736,198.38,357.5,0,0,0,6.655,2116.5,0,14,30,0,0,0,0,0,0,0,,,
629-50-5,n-Tridecane,Alkane,1.61,184.35,364.0,0,0,0,6.157,1969.3,0,13,28,0,0,0,0,0,0,0,,,
556-67-2,Octamethylcyclotetrasiloxane,Silane/Siloxane,0.926,296.63,393.4,-0.471,-0.084,0,4.473,1171.3,0,8,24,4,0,0,0,0,0,4,,,
107-51-7,Octamethyltrisiloxane,Silane/Siloxane,1.008,236.54,400.7,-0.498,-0.074,0,3.936,1267.7,0,8,24,2,0,0,0,0,0,3,,,
111-87-5,Octan-1-ol,,0.937,130.22,371.0,0.199,0.464,0.327,4.635,1184.7,0,8,18,1,0,0,0,0,0,0,,,
123-96-6,Octan-2-ol,,0.937,130.22,376.6,0.176,0.413,0.275,4.335,1184.7,0,8,18,1,0,0,0,0,0,0,,,
124-13-0,Octanal,,0.9,128.21,377.4,0.148,0.629,0,4.364,1141,0,8,16,1,0,0,0,0,0,0,,,
1674-37-9,Octanophenone,,1.507,204.30,324.6,0.779,0.995,0,7.384,1849.9,0,14,20,1,0,0,0,0,0,0,,,
2943-75-1,Octyltriethoxysilane,Silane/Siloxane,1.649,276.48,356.5,-0.255,-0.002,0,6.986,2015.7,0,14,32,3,0,0,0,0,0,1,,,
87-86-5,Pentachlorophenol,Halogenated,0.451,266.32,303.1,1.732,0.989,0.554,7.525,469,1,6,1,1,0,0,0,5,0,0,,,
71-41-0,Pentan-1-ol,,0.559,88.15,390.7,0.219,0.44,0.35,3.116,742.9,0,5,12,1,0,0,0,0,0,0,,,
6032-29-7,Pentan-2-ol,,0.559,88.15,396.2,0.198,0.387,0.302,2.818,742.9,0,5,12,1,0,0,0,0,0,0,,,
584-02-1,Pentan-3-ol,,0.559,88.15,395.9,0.218,0.4,0.275,2.833,742.9,0,5,12,1,0,0,0,0,0,0,,,
198-55-0,Perylene,PAH,2.566,252.30,229.6,2.896,1.853,0,11.652,2344.7,5,20,12,0,0,0,0,0,0,0,,,
85-01-8,Phenanthrene,PAH,1.742,178.22,300.7,1.961,1.309,0,7.709,1679.5,3,14,10,0,0,0,0,0,0,0,,,
108-95-2,Phenol,,0.662,94.11,364.9,0.776,0.772,0.713,3.83,715.4,1,6,6,1,0,0,0,0,0,0,,,
122-79-2,Phenylacetate,,0.836,136.14,363.4,0.661,1.13,0,4.414,918.1,1,8,8,2,0,0,0,0,0,0,,,
827-52-1,Phenylcyclohexane,,1.423,160.25,345.9,0.879,0.59,0,6.072,1603.5,1,12,16,0,0,0,0,0,0,0,,,
694-53-1,Phenylsilane,Silane/Siloxane,0.741,108.21,384.8,0.69,0.407,0,3.48,807.3,1,6,8,0,0,0,0,0,0,1,,,
2996-92-1,Phenyltrimethoxysilane,Silane/Siloxane,0.869,198.29,359.4,0.487,0.804,0,5.221,1104.6,0,9,14,3,0,0,0,0,0,1,,,
85-41-6,Phthalimide,,0.786,147.13,324.6,1.394,1.561,0.334,5.874,860,1,8,5,2,1,0,0,0,0,0,,,
91-15-6,Phthalonitrile,,0.856,128.13,340.4,0.772,1.953,0,5.234,941.9,1,8,4,0,2,0,0,0,0,0,,,
57-83-0,Progesterone,,2.275,314.45,241.9,1.585,2.213,0,11.665,2745.2,0,21,30,2,0,0,0,0,0,0,,,
109-60-4,Propylacetate,,0.48,102.13,398.3,0.092,0.568,0,2.887,651.1,0,5,10,2,0,0,0,0,0,0,,,
92-94-4,p-Terphenyl,PAH,2.172,230.29,279.3,1.816,1.285,0,9.513,2181.2,3,18,14,0,0,0,0,0,0,0,,,
129-00-0,Pyrene,PAH,2.047,202.24,277.6,2.27,1.505,0,8.966,1886.7,4,16,10,0,0,0,0,0,0,0,,,
110-86-1,Pyridine,,0.475,79.10,386.0,0.63,0.838,0,3.011,645.6,0,5,5,0,1,0,0,0,0,0,,,
130-95-0,Quinine,,2.34,324.41,235.7,1.832,1.272,0.808,12.025,2525.4,2,20,24,2,2,0,0,0,0,0,,,
91-22-5,Quinoline,,1.122,129.16,342.2,1.415,1.103,0,5.302,1103.6,2,9,7,0,1,0,0,0,0,0,,,
100-42-5,Styrene,,0.918,104.14,374.3,0.845,0.671,0,3.856,1014.4,1,8,8,0,0,0,0,0,0,0,,,
562-74-3,Terpinen-4-ol,,1.115,154.24,360.0,0.494,0.523,0.181,5.262,1391.9,0,10,18,1,0,0,0,0,0,0,,,
109-99-9,Tetrahydrofuran,,0.395,72.10,400.7,0.295,0.529,0,2.541,552,0,4,8,1,0,0,0,0,0,0,,,
62-55-5,Thioacetamide,,0.273,75.13,362.0,0.64,1.816,0.003,3.853,409.6,0,2,5,0,1,1,0,0,0,0,,,
108-88-3,Toluene,,0.83,92.13,386.5,0.606,0.508,0,3.332,910.9,1,7,8,0,0,0,0,0,0,0,,,
103-30-0,trans-Stilbene,,1.653,180.24,311.4,1.658,1.219,0,7.289,1723.2,2,14,12,0,0,0,0,0,0,0,,,
620-40-6,Tribenzylamine,PAH,2.576,287.39,279.1,1.531,1.196,0,9.897,2652.3,3,21,21,0,1,0,0,0,0,0,,,
60-01-5,Tri-n-Butyrin,,1.502,302.35,321.2,0.22,1.235,0,7.962,1843.6,0,15,26,6,0,0,0,0,0,0,,,
